utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 %, 3 MiB, 24576 MiB,15.47 W,28.0,1.07,0.14,1970516510,
0 %, 3 MiB, 24576 MiB,15.91 W,32.6,2.11,
0 %, 3 MiB, 24576 MiB,15.45 W,25.6,3.14,
0 %, 3 MiB, 24576 MiB,15.59 W,13.7,4.18,
0 %, 3 MiB, 24576 MiB,15.62 W,19.3,5.21,
0 %, 3 MiB, 24576 MiB,14.48 W,18.1,6.25,
0 %, 3 MiB, 24576 MiB,15.74 W,32.2,7.28,
0 %, 3 MiB, 24576 MiB,14.62 W,33.2,8.32,
0 %, 3 MiB, 24576 MiB,15.37 W,25.2,9.35,
0 %, 3 MiB, 24576 MiB,14.17 W,37.6,10.38,
0 %, 3 MiB, 24576 MiB,15.45 W,15.8,11.42,
0 %, 3 MiB, 24576 MiB,16.27 W,30.5,12.45,
0 %, 3 MiB, 24576 MiB,15.25 W,33.6,13.48,
0 %, 3 MiB, 24576 MiB,16.34 W,20.0,14.52,
0 %, 3 MiB, 24576 MiB,15.29 W,26.0,15.55,
0 %, 3 MiB, 24576 MiB,15.76 W,27.3,16.59,
0 %, 3 MiB, 24576 MiB,14.29 W,38.8,17.62,
0 %, 3 MiB, 24576 MiB,14.40 W,35.4,18.66,
0 %, 3 MiB, 24576 MiB,15.52 W,27.4,19.69,
0 %, 3 MiB, 24576 MiB,13.90 W,32.3,20.73,
0 %, 3 MiB, 24576 MiB,15.67 W,32.4,21.76,
0 %, 3 MiB, 24576 MiB,13.54 W,31.3,22.8,
0 %, 3 MiB, 24576 MiB,15.46 W,26.0,23.83,
0 %, 3 MiB, 24576 MiB,15.72 W,26.5,24.87,
0 %, 3 MiB, 24576 MiB,14.86 W,41.1,25.9,
0 %, 3 MiB, 24576 MiB,14.33 W,32.4,26.94,
0 %, 3 MiB, 24576 MiB,15.80 W,26.4,27.97,
0 %, 3 MiB, 24576 MiB,14.45 W,37.0,29.01,
0 %, 3 MiB, 24576 MiB,15.50 W,32.3,30.04,
0 %, 3 MiB, 24576 MiB,15.01 W,27.9,31.07,
0 %, 3 MiB, 24576 MiB,15.38 W,29.7,32.11,
0 %, 3 MiB, 24576 MiB,15.40 W,28.8,33.14,
0 %, 3 MiB, 24576 MiB,15.82 W,33.4,34.18,
0 %, 3 MiB, 24576 MiB,15.72 W,28.1,35.21,
0 %, 3 MiB, 24576 MiB,15.52 W,15.8,36.24,
0 %, 3 MiB, 24576 MiB,15.55 W,31.2,37.28,
0 %, 3 MiB, 24576 MiB,15.88 W,35.7,38.31,
0 %, 3 MiB, 24576 MiB,15.93 W,23.5,39.35,
0 %, 3 MiB, 24576 MiB,15.66 W,31.6,40.38,
0 %, 3 MiB, 24576 MiB,15.26 W,36.1,41.41,
