utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
4 %, 23493 MiB, 24576 MiB,59.11 W,10.8,1.11, 0.54,124082355,
4 %, 23633 MiB, 24576 MiB,59.46 W,11.0,2.17,
2 %, 23633 MiB, 24576 MiB,59.33 W,10.6,3.23,
2 %, 23633 MiB, 24576 MiB,59.16 W,10.8,4.3,
2 %, 23633 MiB, 24576 MiB,59.43 W,10.9,5.36,
2 %, 23633 MiB, 24576 MiB,59.46 W,10.7,6.43,
2 %, 23633 MiB, 24576 MiB,59.56 W,10.7,7.48,
2 %, 23633 MiB, 24576 MiB,59.78 W,11.4,8.55,
2 %, 23633 MiB, 24576 MiB,59.78 W,11.4,9.62,
2 %, 23633 MiB, 24576 MiB,59.63 W,11.1,10.68,
2 %, 23633 MiB, 24576 MiB,59.56 W,10.9,11.74,
2 %, 23633 MiB, 24576 MiB,59.97 W,10.6,12.81,
2 %, 23633 MiB, 24576 MiB,60.11 W,10.7,13.87,
2 %, 23633 MiB, 24576 MiB,59.56 W,11.0,14.94,
2 %, 23633 MiB, 24576 MiB,59.79 W,10.8,16.0,
2 %, 23633 MiB, 24576 MiB,59.78 W,11.0,17.06,
2 %, 23633 MiB, 24576 MiB,59.92 W,10.8,18.13,
2 %, 23633 MiB, 24576 MiB,59.67 W,10.8,19.19,
2 %, 23633 MiB, 24576 MiB,59.72 W,11.0,20.26,
2 %, 23633 MiB, 24576 MiB,59.64 W,10.8,21.32,
2 %, 23633 MiB, 24576 MiB,59.74 W,10.9,22.39,
2 %, 23633 MiB, 24576 MiB,59.51 W,10.8,23.47,
2 %, 23633 MiB, 24576 MiB,59.86 W,12.4,24.53,
2 %, 23633 MiB, 24576 MiB,59.66 W,11.3,25.59,
2 %, 23633 MiB, 24576 MiB,60.00 W,11.0,26.66,
2 %, 23633 MiB, 24576 MiB,59.70 W,10.9,27.72,
2 %, 23633 MiB, 24576 MiB,59.72 W,10.7,28.79,
2 %, 23633 MiB, 24576 MiB,59.51 W,11.0,29.85,
2 %, 23633 MiB, 24576 MiB,59.79 W,10.7,30.91,
2 %, 23633 MiB, 24576 MiB,59.49 W,10.7,31.99,
2 %, 23633 MiB, 24576 MiB,59.88 W,10.9,33.06,
2 %, 23633 MiB, 24576 MiB,59.72 W,10.9,34.12,
2 %, 23633 MiB, 24576 MiB,59.75 W,10.6,35.18,
2 %, 23633 MiB, 24576 MiB,59.69 W,10.6,36.25,
2 %, 23633 MiB, 24576 MiB,59.60 W,11.0,37.31,
2 %, 23633 MiB, 24576 MiB,59.92 W,11.0,38.37,
2 %, 23633 MiB, 24576 MiB,59.64 W,12.0,39.44,
2 %, 23633 MiB, 24576 MiB,59.95 W,11.8,40.5,
2 %, 23633 MiB, 24576 MiB,59.65 W,12.1,41.57,
2 %, 23633 MiB, 24576 MiB,59.53 W,11.0,42.63,
2 %, 23633 MiB, 24576 MiB,59.78 W,11.3,43.7,
2 %, 23633 MiB, 24576 MiB,59.51 W,11.1,44.76,
2 %, 23633 MiB, 24576 MiB,59.71 W,10.7,45.83,
2 %, 23633 MiB, 24576 MiB,59.84 W,10.8,46.89,
2 %, 23633 MiB, 24576 MiB,59.59 W,10.9,47.95,
2 %, 23633 MiB, 24576 MiB,59.89 W,10.9,49.02,
2 %, 23633 MiB, 24576 MiB,59.52 W,10.9,50.08,
2 %, 23633 MiB, 24576 MiB,59.40 W,10.8,51.15,
2 %, 23633 MiB, 24576 MiB,59.65 W,10.6,52.22,
2 %, 23633 MiB, 24576 MiB,59.64 W,11.0,53.29,
2 %, 23633 MiB, 24576 MiB,60.02 W,12.1,54.36,
2 %, 23633 MiB, 24576 MiB,59.88 W,10.9,55.42,
2 %, 23633 MiB, 24576 MiB,59.73 W,11.1,56.49,
2 %, 23633 MiB, 24576 MiB,59.94 W,10.9,57.55,
2 %, 23633 MiB, 24576 MiB,59.77 W,10.7,58.62,
2 %, 23633 MiB, 24576 MiB,59.70 W,10.7,59.68,
2 %, 23633 MiB, 24576 MiB,59.97 W,11.0,60.74,
2 %, 23633 MiB, 24576 MiB,60.26 W,10.6,61.81,
2 %, 23633 MiB, 24576 MiB,60.17 W,11.0,62.87,
2 %, 23633 MiB, 24576 MiB,60.09 W,10.9,63.94,
2 %, 23633 MiB, 24576 MiB,59.78 W,10.7,65.01,
2 %, 23633 MiB, 24576 MiB,60.41 W,10.8,66.07,
2 %, 23633 MiB, 24576 MiB,59.64 W,10.7,67.14,
2 %, 23633 MiB, 24576 MiB,60.13 W,10.9,68.2,
2 %, 23633 MiB, 24576 MiB,60.18 W,11.7,69.27,
2 %, 23633 MiB, 24576 MiB,60.13 W,11.0,70.34,
2 %, 23633 MiB, 24576 MiB,60.44 W,11.3,71.4,
2 %, 23633 MiB, 24576 MiB,59.89 W,10.8,72.46,
2 %, 23633 MiB, 24576 MiB,60.69 W,11.0,73.53,
2 %, 23633 MiB, 24576 MiB,60.51 W,10.9,74.59,
2 %, 23633 MiB, 24576 MiB,60.09 W,10.9,75.66,
2 %, 23633 MiB, 24576 MiB,60.20 W,10.9,76.72,
2 %, 23633 MiB, 24576 MiB,60.58 W,11.0,77.79,
2 %, 23633 MiB, 24576 MiB,60.36 W,10.6,78.86,
2 %, 23633 MiB, 24576 MiB,60.37 W,10.9,79.92,
2 %, 23633 MiB, 24576 MiB,60.40 W,10.9,80.98,
2 %, 23633 MiB, 24576 MiB,60.53 W,10.9,82.05,
