utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,14.09 W,11.0,1.07, 0.54,124082355,
0 %, 3 MiB, 24576 MiB,13.99 W,11.7,2.11,
0 %, 3 MiB, 24576 MiB,14.06 W,11.6,3.15,
0 %, 3 MiB, 24576 MiB,14.27 W,11.5,4.18,
0 %, 3 MiB, 24576 MiB,14.26 W,12.0,5.22,
0 %, 3 MiB, 24576 MiB,13.91 W,11.5,6.26,
0 %, 3 MiB, 24576 MiB,13.63 W,11.8,7.29,
0 %, 3 MiB, 24576 MiB,13.90 W,11.4,8.33,
0 %, 3 MiB, 24576 MiB,14.00 W,11.9,9.36,
0 %, 3 MiB, 24576 MiB,13.70 W,12.4,10.4,
0 %, 3 MiB, 24576 MiB,13.92 W,11.4,11.43,
0 %, 3 MiB, 24576 MiB,13.78 W,11.5,12.47,
0 %, 3 MiB, 24576 MiB,13.56 W,11.4,13.51,
0 %, 3 MiB, 24576 MiB,13.54 W,11.6,14.54,
0 %, 3 MiB, 24576 MiB,13.92 W,11.7,15.58,
0 %, 3 MiB, 24576 MiB,13.95 W,11.4,16.62,
0 %, 3 MiB, 24576 MiB,13.94 W,11.6,17.65,
0 %, 3 MiB, 24576 MiB,13.81 W,11.4,18.69,
0 %, 3 MiB, 24576 MiB,13.74 W,11.5,19.73,
0 %, 3 MiB, 24576 MiB,13.31 W,11.5,20.76,
0 %, 3 MiB, 24576 MiB,13.86 W,11.5,21.8,
0 %, 3 MiB, 24576 MiB,13.83 W,11.5,22.84,
0 %, 3 MiB, 24576 MiB,13.68 W,11.4,23.88,
0 %, 3 MiB, 24576 MiB,13.09 W,12.7,24.91,
0 %, 3 MiB, 24576 MiB,13.18 W,11.7,25.94,
0 %, 3 MiB, 24576 MiB,13.43 W,11.4,26.98,
0 %, 3 MiB, 24576 MiB,13.53 W,11.8,28.02,
0 %, 3 MiB, 24576 MiB,12.93 W,12.1,29.05,
0 %, 3 MiB, 24576 MiB,13.44 W,11.7,30.09,
0 %, 3 MiB, 24576 MiB,13.26 W,11.6,31.12,
0 %, 3 MiB, 24576 MiB,13.32 W,11.8,32.15,
0 %, 3 MiB, 24576 MiB,13.10 W,11.5,33.19,
0 %, 3 MiB, 24576 MiB,14.20 W,11.6,34.22,
0 %, 3 MiB, 24576 MiB,14.05 W,11.9,35.26,
0 %, 3 MiB, 24576 MiB,13.97 W,11.4,36.3,
0 %, 3 MiB, 24576 MiB,12.57 W,11.6,37.34,
0 %, 3 MiB, 24576 MiB,13.16 W,11.5,38.37,
0 %, 3 MiB, 24576 MiB,13.12 W,11.5,39.4,
0 %, 3 MiB, 24576 MiB,13.26 W,12.8,40.44,
0 %, 3 MiB, 24576 MiB,13.48 W,11.7,41.48,
0 %, 3 MiB, 24576 MiB,13.18 W,11.5,42.52,
0 %, 3 MiB, 24576 MiB,12.71 W,11.4,43.55,
0 %, 3 MiB, 24576 MiB,12.77 W,11.3,44.59,
0 %, 3 MiB, 24576 MiB,12.22 W,11.4,45.62,
0 %, 3 MiB, 24576 MiB,13.43 W,11.5,46.66,
0 %, 3 MiB, 24576 MiB,13.40 W,11.7,47.7,
0 %, 3 MiB, 24576 MiB,13.72 W,11.5,48.74,
0 %, 3 MiB, 24576 MiB,12.72 W,11.6,49.77,
0 %, 3 MiB, 24576 MiB,12.46 W,11.9,50.81,
0 %, 3 MiB, 24576 MiB,11.82 W,11.7,51.85,
0 %, 3 MiB, 24576 MiB,12.53 W,11.6,52.89,
0 %, 3 MiB, 24576 MiB,12.39 W,11.4,53.93,
0 %, 3 MiB, 24576 MiB,12.35 W,12.5,54.96,
0 %, 3 MiB, 24576 MiB,11.90 W,11.7,56.0,
0 %, 3 MiB, 24576 MiB,12.73 W,12.1,57.03,
0 %, 3 MiB, 24576 MiB,12.44 W,11.8,58.07,
0 %, 3 MiB, 24576 MiB,12.15 W,11.5,59.11,
0 %, 3 MiB, 24576 MiB,12.71 W,11.5,60.15,
0 %, 3 MiB, 24576 MiB,12.79 W,11.7,61.18,
0 %, 3 MiB, 24576 MiB,12.10 W,11.5,62.21,
0 %, 3 MiB, 24576 MiB,12.24 W,11.5,63.24,
0 %, 3 MiB, 24576 MiB,11.92 W,11.5,64.28,
0 %, 3 MiB, 24576 MiB,12.22 W,11.4,65.32,
0 %, 3 MiB, 24576 MiB,11.84 W,11.7,66.35,
0 %, 3 MiB, 24576 MiB,12.09 W,11.6,67.39,
0 %, 3 MiB, 24576 MiB,12.17 W,11.3,68.43,
0 %, 3 MiB, 24576 MiB,11.76 W,11.6,69.47,
0 %, 3 MiB, 24576 MiB,11.57 W,12.8,70.5,
0 %, 3 MiB, 24576 MiB,12.36 W,11.5,71.54,
0 %, 3 MiB, 24576 MiB,12.41 W,11.4,72.58,
0 %, 3 MiB, 24576 MiB,11.76 W,11.5,73.61,
0 %, 3 MiB, 24576 MiB,11.92 W,11.6,74.65,
0 %, 3 MiB, 24576 MiB,11.44 W,12.0,75.69,
0 %, 3 MiB, 24576 MiB,12.72 W,11.5,76.73,
0 %, 3 MiB, 24576 MiB,12.62 W,11.6,77.76,
0 %, 3 MiB, 24576 MiB,13.09 W,11.6,78.8,
0 %, 3 MiB, 24576 MiB,12.02 W,11.5,79.84,
0 %, 3 MiB, 24576 MiB,11.48 W,11.8,80.88,
0 %, 3 MiB, 24576 MiB,11.59 W,11.4,81.91,
0 %, 3 MiB, 24576 MiB,11.68 W,11.5,82.95,
0 %, 3 MiB, 24576 MiB,11.71 W,11.4,83.99,
0 %, 3 MiB, 24576 MiB,12.01 W,12.5,85.02,
0 %, 3 MiB, 24576 MiB,12.20 W,12.2,86.05,
0 %, 3 MiB, 24576 MiB,12.41 W,11.4,87.09,
0 %, 3 MiB, 24576 MiB,12.11 W,11.7,88.13,
0 %, 3 MiB, 24576 MiB,12.38 W,11.7,89.16,
0 %, 3 MiB, 24576 MiB,12.40 W,11.5,90.19,
0 %, 3 MiB, 24576 MiB,12.17 W,11.8,91.23,
0 %, 3 MiB, 24576 MiB,11.78 W,11.7,92.27,
0 %, 3 MiB, 24576 MiB,12.02 W,11.8,93.31,
0 %, 3 MiB, 24576 MiB,12.19 W,11.3,94.34,
0 %, 3 MiB, 24576 MiB,11.90 W,11.3,95.37,
0 %, 3 MiB, 24576 MiB,12.10 W,11.9,96.41,
0 %, 3 MiB, 24576 MiB,12.51 W,11.5,97.45,
0 %, 3 MiB, 24576 MiB,12.44 W,11.5,98.48,
0 %, 3 MiB, 24576 MiB,12.36 W,11.7,99.52,
0 %, 3 MiB, 24576 MiB,11.86 W,12.7,100.56,
0 %, 3 MiB, 24576 MiB,12.87 W,11.7,101.6,
0 %, 3 MiB, 24576 MiB,12.52 W,11.4,102.64,
0 %, 3 MiB, 24576 MiB,12.49 W,11.3,103.67,
0 %, 3 MiB, 24576 MiB,12.62 W,11.5,104.71,
0 %, 3 MiB, 24576 MiB,11.90 W,11.7,105.74,
0 %, 3 MiB, 24576 MiB,11.89 W,11.4,106.78,
0 %, 3 MiB, 24576 MiB,11.69 W,11.6,107.82,
0 %, 3 MiB, 24576 MiB,11.30 W,11.4,108.86,
0 %, 3 MiB, 24576 MiB,11.50 W,11.5,109.89,
0 %, 3 MiB, 24576 MiB,11.49 W,11.9,110.93,
0 %, 3 MiB, 24576 MiB,11.97 W,11.8,111.96,
0 %, 3 MiB, 24576 MiB,12.32 W,11.3,113.0,
0 %, 3 MiB, 24576 MiB,11.80 W,11.6,114.04,
0 %, 3 MiB, 24576 MiB,11.75 W,12.4,115.08,
0 %, 3 MiB, 24576 MiB,11.67 W,11.9,116.12,
0 %, 3 MiB, 24576 MiB,11.75 W,12.1,117.15,
0 %, 3 MiB, 24576 MiB,11.74 W,11.5,118.19,
0 %, 3 MiB, 24576 MiB,11.74 W,11.4,119.23,
0 %, 3 MiB, 24576 MiB,11.31 W,11.5,120.27,
0 %, 3 MiB, 24576 MiB,11.73 W,11.5,121.3,
0 %, 3 MiB, 24576 MiB,12.01 W,11.6,122.34,
0 %, 3 MiB, 24576 MiB,11.83 W,11.7,123.38,
0 %, 3 MiB, 24576 MiB,11.93 W,11.6,124.41,
0 %, 3 MiB, 24576 MiB,11.34 W,11.4,125.44,
0 %, 3 MiB, 24576 MiB,11.77 W,11.8,126.48,
0 %, 3 MiB, 24576 MiB,11.91 W,11.7,127.52,
0 %, 3 MiB, 24576 MiB,12.09 W,11.4,128.55,
0 %, 3 MiB, 24576 MiB,12.03 W,11.7,129.6,
0 %, 3 MiB, 24576 MiB,12.36 W,12.5,130.63,
0 %, 3 MiB, 24576 MiB,12.11 W,11.7,131.67,
0 %, 3 MiB, 24576 MiB,12.67 W,11.9,132.71,
0 %, 3 MiB, 24576 MiB,12.53 W,11.8,133.74,
0 %, 3 MiB, 24576 MiB,11.85 W,11.4,134.78,
0 %, 3 MiB, 24576 MiB,11.74 W,11.5,135.81,
0 %, 3 MiB, 24576 MiB,12.08 W,11.6,136.85,
0 %, 3 MiB, 24576 MiB,11.77 W,11.4,137.89,
0 %, 3 MiB, 24576 MiB,11.90 W,11.6,138.92,
0 %, 3 MiB, 24576 MiB,11.47 W,11.3,139.96,
0 %, 3 MiB, 24576 MiB,12.07 W,11.5,141.0,
