utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,11.67 W,10.9,1.06,0.4751,124082355,
0 %, 3 MiB, 24576 MiB,11.13 W,11.1,2.09,
0 %, 3 MiB, 24576 MiB,11.02 W,11.1,3.13,
0 %, 3 MiB, 24576 MiB,11.44 W,10.7,4.16,
0 %, 3 MiB, 24576 MiB,11.26 W,10.6,5.2,
0 %, 3 MiB, 24576 MiB,11.08 W,11.0,6.23,
0 %, 3 MiB, 24576 MiB,11.27 W,11.3,7.26,
0 %, 3 MiB, 24576 MiB,11.76 W,11.1,8.3,
0 %, 3 MiB, 24576 MiB,11.57 W,10.9,9.33,
0 %, 3 MiB, 24576 MiB,11.30 W,10.8,10.37,
0 %, 3 MiB, 24576 MiB,11.85 W,10.9,11.4,
0 %, 3 MiB, 24576 MiB,11.82 W,10.6,12.43,
0 %, 3 MiB, 24576 MiB,11.78 W,10.7,13.47,
0 %, 3 MiB, 24576 MiB,11.25 W,10.7,14.5,
0 %, 3 MiB, 24576 MiB,11.18 W,10.8,15.54,
0 %, 3 MiB, 24576 MiB,11.44 W,11.0,16.57,
0 %, 3 MiB, 24576 MiB,12.25 W,11.4,17.61,
0 %, 3 MiB, 24576 MiB,12.15 W,10.7,18.64,
0 %, 3 MiB, 24576 MiB,12.10 W,10.8,19.67,
0 %, 3 MiB, 24576 MiB,12.73 W,11.0,20.71,
0 %, 3 MiB, 24576 MiB,11.06 W,11.5,21.74,
0 %, 3 MiB, 24576 MiB,11.30 W,10.9,22.77,
0 %, 3 MiB, 24576 MiB,11.27 W,10.8,23.8,
0 %, 3 MiB, 24576 MiB,12.00 W,10.8,24.84,
0 %, 3 MiB, 24576 MiB,11.46 W,10.7,25.87,
0 %, 3 MiB, 24576 MiB,11.70 W,10.8,26.9,
0 %, 3 MiB, 24576 MiB,11.61 W,10.9,27.94,
0 %, 3 MiB, 24576 MiB,11.24 W,10.8,28.97,
0 %, 3 MiB, 24576 MiB,11.44 W,10.8,30.0,
0 %, 3 MiB, 24576 MiB,11.49 W,10.8,31.03,
0 %, 3 MiB, 24576 MiB,10.87 W,11.2,32.07,
0 %, 3 MiB, 24576 MiB,11.57 W,11.0,33.1,
0 %, 3 MiB, 24576 MiB,11.61 W,10.7,34.13,
0 %, 3 MiB, 24576 MiB,11.08 W,10.8,35.16,
0 %, 3 MiB, 24576 MiB,11.05 W,10.8,36.2,
0 %, 3 MiB, 24576 MiB,11.25 W,11.6,37.23,
0 %, 3 MiB, 24576 MiB,11.74 W,10.7,38.26,
0 %, 3 MiB, 24576 MiB,12.08 W,10.8,39.29,
0 %, 3 MiB, 24576 MiB,10.89 W,10.9,40.33,
0 %, 3 MiB, 24576 MiB,11.27 W,10.9,41.36,
0 %, 3 MiB, 24576 MiB,11.00 W,10.8,42.39,
0 %, 3 MiB, 24576 MiB,11.46 W,10.8,43.42,
0 %, 3 MiB, 24576 MiB,11.92 W,10.9,44.46,
0 %, 3 MiB, 24576 MiB,11.81 W,10.7,45.49,
0 %, 3 MiB, 24576 MiB,11.87 W,10.7,46.52,
0 %, 3 MiB, 24576 MiB,11.38 W,11.3,47.56,
0 %, 3 MiB, 24576 MiB,10.97 W,10.9,48.59,
0 %, 3 MiB, 24576 MiB,11.00 W,10.8,49.62,
0 %, 3 MiB, 24576 MiB,11.13 W,10.8,50.65,
0 %, 3 MiB, 24576 MiB,11.98 W,11.2,51.68,
0 %, 3 MiB, 24576 MiB,12.03 W,11.3,52.72,
0 %, 3 MiB, 24576 MiB,11.65 W,10.8,53.75,
0 %, 3 MiB, 24576 MiB,11.84 W,10.7,54.78,
0 %, 3 MiB, 24576 MiB,11.27 W,10.7,55.81,
0 %, 3 MiB, 24576 MiB,11.30 W,10.9,56.85,
0 %, 3 MiB, 24576 MiB,11.57 W,10.5,57.88,
