utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 23163 MiB, 24576 MiB,58.15 W,12.0,1.12,0.4681,144469464.0, 
0 , 23163 MiB, 24576 MiB,57.76 W,11.7,2.17,
0 , 23163 MiB, 24576 MiB,58.10 W,12.1,3.22,
0 , 23163 MiB, 24576 MiB,58.24 W,12.1,4.27,
0 , 23163 MiB, 24576 MiB,58.24 W,10.2,5.32,
0 , 23163 MiB, 24576 MiB,57.97 W,8.5,6.37,
0 , 23163 MiB, 24576 MiB,58.11 W,10.5,7.42,
0 , 23163 MiB, 24576 MiB,57.88 W,10.8,8.48,
2 , 23305 MiB, 24576 MiB,57.99 W,12.0,9.55,
5 , 23597 MiB, 24576 MiB,59.31 W,12.4,10.63,
2 , 23597 MiB, 24576 MiB,58.76 W,12.6,11.71,
2 , 23597 MiB, 24576 MiB,58.69 W,11.1,12.79,
2 , 23597 MiB, 24576 MiB,58.49 W,10.2,13.88,
2 , 23597 MiB, 24576 MiB,58.57 W,12.4,14.97,
2 , 23597 MiB, 24576 MiB,58.48 W,12.6,16.05,
2 , 23597 MiB, 24576 MiB,58.85 W,12.9,17.13,
2 , 23597 MiB, 24576 MiB,58.68 W,12.7,18.24,
2 , 23597 MiB, 24576 MiB,58.72 W,12.4,19.32,
2 , 23597 MiB, 24576 MiB,58.66 W,10.0,20.41,
2 , 23597 MiB, 24576 MiB,58.63 W,12.0,21.49,
2 , 23597 MiB, 24576 MiB,58.61 W,14.2,22.59,
2 , 23597 MiB, 24576 MiB,58.43 W,12.7,23.68,
2 , 23597 MiB, 24576 MiB,58.66 W,11.9,24.76,
2 , 23597 MiB, 24576 MiB,58.75 W,13.1,25.84,
2 , 23597 MiB, 24576 MiB,58.55 W,10.5,26.94,
2 , 23597 MiB, 24576 MiB,58.79 W,9.0,28.02,
2 , 23597 MiB, 24576 MiB,58.58 W,11.7,29.11,
2 , 23597 MiB, 24576 MiB,58.59 W,12.9,30.2,
2 , 23597 MiB, 24576 MiB,58.60 W,12.1,31.29,
2 , 23597 MiB, 24576 MiB,58.82 W,12.5,32.38,
2 , 23597 MiB, 24576 MiB,58.72 W,11.9,33.46,
2 , 23597 MiB, 24576 MiB,58.72 W,9.0,34.54,
2 , 23597 MiB, 24576 MiB,58.49 W,10.2,35.62,
2 , 23597 MiB, 24576 MiB,58.79 W,12.0,36.7,
2 , 23597 MiB, 24576 MiB,58.75 W,12.8,37.8,
2 , 23597 MiB, 24576 MiB,58.67 W,13.5,38.88,
2 , 23597 MiB, 24576 MiB,58.69 W,13.7,39.97,
2 , 23597 MiB, 24576 MiB,58.74 W,11.7,41.04,
2 , 23597 MiB, 24576 MiB,58.65 W,9.4,42.12,
2 , 23597 MiB, 24576 MiB,58.74 W,12.3,43.2,
2 , 23597 MiB, 24576 MiB,58.76 W,13.6,44.29,
2 , 23597 MiB, 24576 MiB,58.78 W,12.2,45.4,
2 , 23597 MiB, 24576 MiB,58.70 W,13.4,46.48,
2 , 23597 MiB, 24576 MiB,58.61 W,11.4,47.57,
2 , 23597 MiB, 24576 MiB,58.78 W,9.6,48.65,
2 , 23597 MiB, 24576 MiB,58.97 W,11.7,49.73,
2 , 23597 MiB, 24576 MiB,58.71 W,14.1,50.82,
2 , 23597 MiB, 24576 MiB,58.59 W,14.8,51.92,
2 , 23597 MiB, 24576 MiB,58.70 W,13.6,53.0,
2 , 23597 MiB, 24576 MiB,58.63 W,12.7,54.09,
2 , 23597 MiB, 24576 MiB,58.85 W,9.9,55.17,
2 , 23597 MiB, 24576 MiB,58.84 W,9.1,56.25,
2 , 23597 MiB, 24576 MiB,58.79 W,12.2,57.33,
2 , 23597 MiB, 24576 MiB,58.69 W,12.9,58.41,
2 , 23597 MiB, 24576 MiB,58.89 W,12.1,59.49,
2 , 23597 MiB, 24576 MiB,58.99 W,11.8,60.59,
2 , 23597 MiB, 24576 MiB,58.84 W,12.7,61.67,
2 , 23597 MiB, 24576 MiB,58.82 W,10.2,62.76,
2 , 23597 MiB, 24576 MiB,58.82 W,12.1,63.84,
2 , 23597 MiB, 24576 MiB,58.75 W,14.0,64.93,
2 , 23597 MiB, 24576 MiB,58.76 W,12.4,66.03,
2 , 23597 MiB, 24576 MiB,58.89 W,13.1,67.11,
2 , 23597 MiB, 24576 MiB,58.85 W,11.7,68.22,
2 , 23597 MiB, 24576 MiB,58.96 W,9.7,69.33,
2 , 23597 MiB, 24576 MiB,58.80 W,11.8,70.41,
2 , 23597 MiB, 24576 MiB,58.73 W,12.3,71.49,
2 , 23597 MiB, 24576 MiB,58.63 W,12.0,72.57,
2 , 23597 MiB, 24576 MiB,58.52 W,12.1,73.67,
2 , 23597 MiB, 24576 MiB,58.69 W,13.1,74.77,
2 , 23597 MiB, 24576 MiB,58.91 W,10.5,75.85,
2 , 23597 MiB, 24576 MiB,58.81 W,9.1,76.93,
2 , 23597 MiB, 24576 MiB,58.55 W,10.8,78.01,
2 , 23597 MiB, 24576 MiB,58.69 W,11.7,79.09,
2 , 23597 MiB, 24576 MiB,58.62 W,13.6,80.17,
2 , 23597 MiB, 24576 MiB,59.07 W,14.0,81.25,
2 , 23597 MiB, 24576 MiB,58.85 W,12.5,82.33,
2 , 23597 MiB, 24576 MiB,58.90 W,12.0,83.41,
2 , 23597 MiB, 24576 MiB,58.60 W,9.8,84.49,
2 , 23597 MiB, 24576 MiB,58.93 W,11.0,85.57,
2 , 23597 MiB, 24576 MiB,58.88 W,12.6,86.65,
2 , 23597 MiB, 24576 MiB,58.82 W,12.4,87.73,
2 , 23597 MiB, 24576 MiB,58.72 W,12.7,88.81,
2 , 23597 MiB, 24576 MiB,58.95 W,13.1,89.89,
2 , 23597 MiB, 24576 MiB,58.92 W,9.3,90.97,
2 , 23597 MiB, 24576 MiB,58.78 W,11.5,92.05,
2 , 23597 MiB, 24576 MiB,58.89 W,12.6,93.14,
2 , 23597 MiB, 24576 MiB,58.76 W,13.0,94.24,
2 , 23597 MiB, 24576 MiB,58.69 W,14.3,95.34,
2 , 23597 MiB, 24576 MiB,58.86 W,13.5,96.42,
2 , 23597 MiB, 24576 MiB,58.89 W,10.1,97.51,
2 , 23597 MiB, 24576 MiB,58.96 W,9.0,98.59,
2 , 23597 MiB, 24576 MiB,58.95 W,11.8,99.67,
