utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,9.63 W,12.1,1.06,0.4681,144469464.0, 
0 , 3 MiB, 24576 MiB,9.97 W,10.8,2.1,
0 , 3 MiB, 24576 MiB,9.88 W,8.9,3.14,
0 , 3 MiB, 24576 MiB,9.89 W,11.5,4.17,
0 , 3 MiB, 24576 MiB,10.44 W,10.4,5.21,
0 , 3 MiB, 24576 MiB,10.03 W,8.0,6.24,
0 , 3 MiB, 24576 MiB,9.67 W,9.3,7.28,
0 , 3 MiB, 24576 MiB,9.91 W,11.0,8.32,
0 , 3 MiB, 24576 MiB,9.88 W,12.2,9.36,
0 , 3 MiB, 24576 MiB,10.03 W,12.3,10.4,
0 , 3 MiB, 24576 MiB,9.41 W,12.2,11.43,
0 , 3 MiB, 24576 MiB,10.14 W,13.5,12.47,
0 , 3 MiB, 24576 MiB,10.43 W,13.7,13.5,
0 , 3 MiB, 24576 MiB,9.75 W,10.3,14.54,
0 , 3 MiB, 24576 MiB,9.37 W,12.7,15.58,
0 , 3 MiB, 24576 MiB,9.95 W,12.6,16.62,
0 , 3 MiB, 24576 MiB,9.07 W,13.2,17.66,
0 , 3 MiB, 24576 MiB,8.80 W,12.1,18.7,
0 , 3 MiB, 24576 MiB,9.37 W,12.4,19.74,
0 , 3 MiB, 24576 MiB,9.39 W,12.0,20.78,
0 , 3 MiB, 24576 MiB,9.43 W,12.1,21.82,
0 , 3 MiB, 24576 MiB,9.58 W,13.1,22.86,
0 , 3 MiB, 24576 MiB,9.69 W,14.4,23.9,
0 , 3 MiB, 24576 MiB,8.99 W,13.4,24.94,
0 , 3 MiB, 24576 MiB,9.38 W,12.7,25.98,
0 , 3 MiB, 24576 MiB,9.63 W,12.7,27.02,
0 , 3 MiB, 24576 MiB,9.45 W,14.0,28.06,
0 , 3 MiB, 24576 MiB,9.86 W,15.4,29.1,
0 , 3 MiB, 24576 MiB,9.81 W,13.9,30.14,
0 , 3 MiB, 24576 MiB,9.72 W,12.6,31.18,
0 , 3 MiB, 24576 MiB,9.40 W,12.3,32.22,
0 , 3 MiB, 24576 MiB,9.43 W,13.6,33.26,
0 , 3 MiB, 24576 MiB,9.94 W,13.6,34.3,
0 , 3 MiB, 24576 MiB,9.39 W,14.4,35.34,
0 , 3 MiB, 24576 MiB,9.46 W,14.0,36.38,
0 , 3 MiB, 24576 MiB,9.98 W,11.1,37.42,
0 , 3 MiB, 24576 MiB,9.35 W,12.0,38.46,
0 , 3 MiB, 24576 MiB,8.91 W,13.8,39.5,
0 , 3 MiB, 24576 MiB,9.43 W,13.2,40.54,
0 , 3 MiB, 24576 MiB,9.27 W,11.2,41.58,
0 , 3 MiB, 24576 MiB,9.50 W,12.4,42.62,
0 , 3 MiB, 24576 MiB,9.52 W,12.4,43.66,
0 , 3 MiB, 24576 MiB,9.32 W,12.8,44.7,
0 , 3 MiB, 24576 MiB,9.38 W,15.8,45.74,
0 , 3 MiB, 24576 MiB,9.42 W,14.6,46.78,
0 , 3 MiB, 24576 MiB,10.13 W,12.2,47.83,
0 , 3 MiB, 24576 MiB,10.25 W,12.7,48.87,
0 , 3 MiB, 24576 MiB,9.81 W,12.0,49.91,
0 , 3 MiB, 24576 MiB,9.69 W,13.4,50.95,
