utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,12.98 W,12.0,1.07,0.4605,144469464.0, 
0 , 3 MiB, 24576 MiB,13.20 W,12.5,2.11,
0 , 3 MiB, 24576 MiB,13.47 W,10.6,3.14,
0 , 3 MiB, 24576 MiB,12.68 W,11.3,4.18,
0 , 3 MiB, 24576 MiB,13.09 W,9.8,5.21,
0 , 3 MiB, 24576 MiB,12.88 W,10.9,6.24,
0 , 3 MiB, 24576 MiB,14.22 W,13.2,7.28,
0 , 3 MiB, 24576 MiB,14.22 W,10.8,8.32,
0 , 3 MiB, 24576 MiB,13.69 W,11.5,9.35,
0 , 3 MiB, 24576 MiB,12.73 W,10.7,10.39,
0 , 3 MiB, 24576 MiB,12.63 W,12.0,11.42,
0 , 3 MiB, 24576 MiB,12.41 W,10.2,12.46,
0 , 3 MiB, 24576 MiB,12.90 W,10.2,13.49,
0 , 3 MiB, 24576 MiB,12.65 W,11.0,14.53,
0 , 3 MiB, 24576 MiB,12.42 W,9.8,15.56,
0 , 3 MiB, 24576 MiB,12.04 W,11.0,16.6,
0 , 3 MiB, 24576 MiB,12.04 W,12.2,17.63,
0 , 3 MiB, 24576 MiB,12.18 W,11.6,18.67,
0 , 3 MiB, 24576 MiB,12.34 W,12.2,19.7,
0 , 3 MiB, 24576 MiB,11.59 W,10.6,20.74,
0 , 3 MiB, 24576 MiB,12.14 W,11.9,21.77,
0 , 3 MiB, 24576 MiB,11.78 W,10.9,22.81,
0 , 3 MiB, 24576 MiB,12.32 W,12.4,23.84,
0 , 3 MiB, 24576 MiB,11.58 W,12.7,24.88,
0 , 3 MiB, 24576 MiB,12.72 W,10.8,25.92,
0 , 3 MiB, 24576 MiB,11.73 W,12.0,26.96,
0 , 3 MiB, 24576 MiB,11.47 W,11.4,27.99,
0 , 3 MiB, 24576 MiB,11.14 W,12.7,29.03,
0 , 3 MiB, 24576 MiB,11.44 W,12.4,30.06,
0 , 3 MiB, 24576 MiB,11.55 W,12.4,31.1,
0 , 3 MiB, 24576 MiB,11.03 W,11.9,32.14,
0 , 3 MiB, 24576 MiB,11.24 W,12.8,33.17,
0 , 3 MiB, 24576 MiB,10.75 W,12.7,34.21,
0 , 3 MiB, 24576 MiB,10.96 W,12.1,35.25,
0 , 3 MiB, 24576 MiB,10.17 W,11.3,36.29,
0 , 3 MiB, 24576 MiB,10.63 W,12.5,37.32,
0 , 3 MiB, 24576 MiB,11.59 W,11.7,38.36,
0 , 3 MiB, 24576 MiB,11.43 W,13.6,39.4,
0 , 3 MiB, 24576 MiB,11.42 W,9.8,40.43,
0 , 3 MiB, 24576 MiB,10.00 W,11.1,41.46,
0 , 3 MiB, 24576 MiB,9.88 W,11.4,42.5,
0 , 3 MiB, 24576 MiB,9.80 W,11.2,43.53,
0 , 3 MiB, 24576 MiB,10.02 W,12.3,44.57,
0 , 3 MiB, 24576 MiB,10.43 W,12.7,45.6,
0 , 3 MiB, 24576 MiB,10.42 W,12.8,46.64,
0 , 3 MiB, 24576 MiB,10.42 W,10.9,47.67,
0 , 3 MiB, 24576 MiB,10.48 W,10.8,48.71,
0 , 3 MiB, 24576 MiB,9.87 W,10.7,49.74,
0 , 3 MiB, 24576 MiB,10.06 W,11.8,50.78,
0 , 3 MiB, 24576 MiB,10.20 W,11.7,51.82,
0 , 3 MiB, 24576 MiB,10.77 W,10.2,52.85,
0 , 3 MiB, 24576 MiB,10.78 W,11.2,53.89,
