utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,10.29 W,7.5,1.06,0.091,144469464.0, 
0 , 3 MiB, 24576 MiB,10.61 W,11.7,2.1,
0 , 3 MiB, 24576 MiB,10.00 W,9.5,3.13,
0 , 3 MiB, 24576 MiB,10.59 W,10.4,4.17,
0 , 3 MiB, 24576 MiB,9.88 W,12.6,5.2,
0 , 3 MiB, 24576 MiB,9.91 W,11.3,6.23,
0 , 3 MiB, 24576 MiB,9.57 W,11.8,7.27,
0 , 3 MiB, 24576 MiB,10.12 W,9.4,8.3,
0 , 3 MiB, 24576 MiB,9.97 W,11.7,9.33,
0 , 3 MiB, 24576 MiB,9.73 W,10.4,10.37,
0 , 3 MiB, 24576 MiB,10.25 W,10.8,11.4,
0 , 3 MiB, 24576 MiB,10.46 W,11.6,12.44,
0 , 3 MiB, 24576 MiB,10.72 W,13.1,13.47,
0 , 3 MiB, 24576 MiB,9.37 W,13.2,14.5,
0 , 3 MiB, 24576 MiB,9.61 W,11.8,15.54,
0 , 3 MiB, 24576 MiB,9.38 W,12.4,16.57,
0 , 3 MiB, 24576 MiB,9.61 W,12.3,17.61,
0 , 3 MiB, 24576 MiB,9.80 W,11.0,18.64,
0 , 3 MiB, 24576 MiB,9.67 W,12.2,19.67,
0 , 3 MiB, 24576 MiB,9.64 W,11.2,20.71,
0 , 3 MiB, 24576 MiB,9.75 W,12.3,21.75,
0 , 3 MiB, 24576 MiB,10.04 W,8.7,22.78,
0 , 3 MiB, 24576 MiB,9.84 W,11.2,23.82,
0 , 3 MiB, 24576 MiB,9.94 W,11.2,24.85,
0 , 3 MiB, 24576 MiB,9.85 W,10.2,25.89,
0 , 3 MiB, 24576 MiB,10.19 W,12.2,26.92,
0 , 3 MiB, 24576 MiB,10.46 W,12.8,27.96,
0 , 3 MiB, 24576 MiB,10.49 W,12.7,28.99,
0 , 3 MiB, 24576 MiB,10.40 W,10.3,30.03,
0 , 3 MiB, 24576 MiB,9.89 W,11.6,31.07,
0 , 3 MiB, 24576 MiB,10.36 W,12.2,32.11,
0 , 3 MiB, 24576 MiB,9.52 W,11.2,33.14,
0 , 3 MiB, 24576 MiB,10.11 W,12.9,34.18,
0 , 3 MiB, 24576 MiB,10.39 W,12.1,35.21,
0 , 3 MiB, 24576 MiB,10.50 W,10.3,36.25,
0 , 3 MiB, 24576 MiB,10.15 W,12.4,37.29,
0 , 3 MiB, 24576 MiB,9.77 W,11.3,38.32,
0 , 3 MiB, 24576 MiB,10.04 W,11.4,39.36,
0 , 3 MiB, 24576 MiB,10.05 W,13.1,40.4,
0 , 3 MiB, 24576 MiB,9.84 W,12.6,41.43,
0 , 3 MiB, 24576 MiB,10.61 W,11.0,42.47,
0 , 3 MiB, 24576 MiB,10.32 W,12.3,43.5,
0 , 3 MiB, 24576 MiB,10.32 W,11.1,44.54,
0 , 3 MiB, 24576 MiB,9.46 W,10.1,45.58,
