utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
1 , 23163 MiB, 24576 MiB,57.85 W,5.8,1.11,0.5616,1192670936.0,
0 , 23163 MiB, 24576 MiB,57.90 W,5.8,2.16,
0 , 23163 MiB, 24576 MiB,57.93 W,6.4,3.22,
0 , 23163 MiB, 24576 MiB,57.81 W,5.8,4.28,
0 , 23163 MiB, 24576 MiB,57.96 W,5.4,5.33,
0 , 23163 MiB, 24576 MiB,57.87 W,6.2,6.39,
0 , 23163 MiB, 24576 MiB,57.83 W,5.8,7.45,
0 , 23163 MiB, 24576 MiB,58.14 W,5.5,8.5,
0 , 23163 MiB, 24576 MiB,58.01 W,5.7,9.56,
0 , 23163 MiB, 24576 MiB,58.04 W,5.9,10.61,
0 , 23163 MiB, 24576 MiB,58.13 W,5.6,11.67,
0 , 23311 MiB, 24576 MiB,58.15 W,6.2,12.74,
6 , 23597 MiB, 24576 MiB,69.64 W,6.3,13.82,
11 , 23597 MiB, 24576 MiB,59.40 W,6.4,14.94,
6 , 23597 MiB, 24576 MiB,59.69 W,6.4,16.03,
6 , 23597 MiB, 24576 MiB,59.46 W,6.1,17.11,
6 , 23597 MiB, 24576 MiB,60.67 W,7.0,18.2,
6 , 23597 MiB, 24576 MiB,60.56 W,6.8,19.29,
6 , 23597 MiB, 24576 MiB,60.20 W,6.3,20.37,
6 , 23597 MiB, 24576 MiB,59.99 W,6.6,21.47,
6 , 23597 MiB, 24576 MiB,59.66 W,6.4,22.56,
6 , 23597 MiB, 24576 MiB,59.76 W,6.5,23.65,
7 , 23597 MiB, 24576 MiB,59.90 W,6.5,24.75,
6 , 23597 MiB, 24576 MiB,59.49 W,6.5,25.84,
6 , 23597 MiB, 24576 MiB,60.77 W,6.4,26.93,
6 , 23597 MiB, 24576 MiB,60.15 W,6.3,28.02,
6 , 23597 MiB, 24576 MiB,60.13 W,6.5,29.1,
6 , 23597 MiB, 24576 MiB,60.20 W,6.3,30.19,
6 , 23597 MiB, 24576 MiB,59.78 W,6.3,31.28,
7 , 23597 MiB, 24576 MiB,59.56 W,6.9,32.38,
7 , 23597 MiB, 24576 MiB,59.56 W,6.5,33.49,
7 , 23597 MiB, 24576 MiB,59.63 W,6.4,34.58,
6 , 23597 MiB, 24576 MiB,60.75 W,6.4,35.66,
6 , 23597 MiB, 24576 MiB,60.80 W,6.5,36.76,
6 , 23597 MiB, 24576 MiB,60.83 W,6.3,37.86,
7 , 23597 MiB, 24576 MiB,61.05 W,6.4,38.96,
7 , 23597 MiB, 24576 MiB,60.97 W,6.3,40.06,
7 , 23597 MiB, 24576 MiB,59.99 W,6.3,41.16,
7 , 23597 MiB, 24576 MiB,60.51 W,6.2,42.24,
7 , 23597 MiB, 24576 MiB,60.19 W,6.2,43.33,
7 , 23597 MiB, 24576 MiB,60.18 W,6.7,44.41,
7 , 23597 MiB, 24576 MiB,60.31 W,6.3,45.5,
7 , 23597 MiB, 24576 MiB,61.31 W,6.2,46.59,
7 , 23597 MiB, 24576 MiB,60.66 W,7.3,47.68,
7 , 23597 MiB, 24576 MiB,61.15 W,6.2,48.78,
7 , 23597 MiB, 24576 MiB,59.85 W,6.2,49.87,
6 , 23597 MiB, 24576 MiB,59.51 W,6.4,50.95,
6 , 23597 MiB, 24576 MiB,59.76 W,6.6,52.04,
6 , 23597 MiB, 24576 MiB,59.39 W,6.4,53.13,
7 , 23597 MiB, 24576 MiB,59.66 W,6.6,54.24,
7 , 23597 MiB, 24576 MiB,61.65 W,6.5,55.33,
7 , 23597 MiB, 24576 MiB,61.70 W,6.3,56.42,
7 , 23597 MiB, 24576 MiB,61.54 W,6.2,57.5,
7 , 23597 MiB, 24576 MiB,60.76 W,6.4,58.59,
7 , 23597 MiB, 24576 MiB,60.68 W,6.8,59.68,
7 , 23597 MiB, 24576 MiB,60.27 W,6.4,60.81,
7 , 23597 MiB, 24576 MiB,60.42 W,6.5,61.9,
6 , 23597 MiB, 24576 MiB,60.59 W,6.9,62.99,
6 , 23597 MiB, 24576 MiB,60.43 W,6.5,64.08,
6 , 23597 MiB, 24576 MiB,60.11 W,6.3,65.17,
6 , 23597 MiB, 24576 MiB,60.06 W,6.4,66.28,
7 , 23597 MiB, 24576 MiB,61.64 W,6.6,67.37,
7 , 23597 MiB, 24576 MiB,61.54 W,6.2,68.45,
7 , 23597 MiB, 24576 MiB,61.10 W,6.3,69.55,
6 , 23597 MiB, 24576 MiB,60.64 W,6.2,70.63,
7 , 23597 MiB, 24576 MiB,60.49 W,6.3,71.72,
7 , 23597 MiB, 24576 MiB,60.71 W,6.2,72.81,
7 , 23597 MiB, 24576 MiB,62.10 W,6.4,73.89,
7 , 23597 MiB, 24576 MiB,61.75 W,7.0,74.98,
7 , 23597 MiB, 24576 MiB,61.60 W,6.4,76.07,
7 , 23597 MiB, 24576 MiB,60.75 W,6.2,77.16,
7 , 23597 MiB, 24576 MiB,60.02 W,7.2,78.24,
7 , 23597 MiB, 24576 MiB,60.90 W,7.3,79.33,
7 , 23597 MiB, 24576 MiB,62.06 W,7.3,80.42,
7 , 23597 MiB, 24576 MiB,62.11 W,6.4,81.52,
7 , 23597 MiB, 24576 MiB,61.77 W,6.6,82.63,
7 , 23597 MiB, 24576 MiB,61.66 W,6.5,83.72,
6 , 23597 MiB, 24576 MiB,61.53 W,6.3,84.81,
6 , 23597 MiB, 24576 MiB,60.73 W,6.2,85.9,
6 , 23597 MiB, 24576 MiB,60.35 W,6.3,86.98,
6 , 23597 MiB, 24576 MiB,60.90 W,6.0,88.07,
6 , 23597 MiB, 24576 MiB,61.61 W,6.5,89.16,
6 , 23597 MiB, 24576 MiB,61.90 W,6.9,90.25,
7 , 23597 MiB, 24576 MiB,61.61 W,6.3,91.35,
