utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,9.71 W,11.3,1.07,0.5616,1192670936.0,
0 , 3 MiB, 24576 MiB,9.60 W,11.1,2.11,
0 , 3 MiB, 24576 MiB,9.55 W,11.4,3.15,
0 , 3 MiB, 24576 MiB,9.86 W,10.4,4.19,
0 , 3 MiB, 24576 MiB,10.30 W,10.6,5.23,
0 , 3 MiB, 24576 MiB,9.58 W,8.3,6.27,
0 , 3 MiB, 24576 MiB,9.09 W,11.8,7.3,
0 , 3 MiB, 24576 MiB,10.12 W,10.8,8.34,
0 , 3 MiB, 24576 MiB,9.54 W,11.9,9.38,
0 , 3 MiB, 24576 MiB,9.76 W,12.2,10.43,
0 , 3 MiB, 24576 MiB,9.37 W,11.6,11.47,
0 , 3 MiB, 24576 MiB,9.49 W,10.4,12.51,
0 , 3 MiB, 24576 MiB,10.00 W,13.3,13.56,
0 , 3 MiB, 24576 MiB,10.29 W,14.3,14.6,
0 , 3 MiB, 24576 MiB,10.14 W,14.3,15.64,
0 , 3 MiB, 24576 MiB,9.21 W,14.1,16.68,
0 , 3 MiB, 24576 MiB,9.69 W,13.7,17.72,
0 , 3 MiB, 24576 MiB,10.05 W,11.6,18.77,
0 , 3 MiB, 24576 MiB,10.29 W,14.0,19.81,
0 , 3 MiB, 24576 MiB,9.43 W,14.1,20.85,
0 , 3 MiB, 24576 MiB,9.71 W,14.3,21.89,
0 , 3 MiB, 24576 MiB,9.32 W,13.8,22.93,
0 , 3 MiB, 24576 MiB,8.84 W,13.1,23.97,
0 , 3 MiB, 24576 MiB,9.68 W,12.0,25.02,
0 , 3 MiB, 24576 MiB,10.00 W,13.8,26.06,
0 , 3 MiB, 24576 MiB,9.95 W,14.2,27.1,
0 , 3 MiB, 24576 MiB,9.76 W,14.7,28.14,
0 , 3 MiB, 24576 MiB,9.79 W,15.3,29.18,
0 , 3 MiB, 24576 MiB,10.06 W,15.1,30.23,
0 , 3 MiB, 24576 MiB,9.78 W,11.9,31.27,
0 , 3 MiB, 24576 MiB,9.74 W,13.3,32.31,
0 , 3 MiB, 24576 MiB,9.65 W,14.2,33.35,
0 , 3 MiB, 24576 MiB,9.99 W,16.0,34.39,
0 , 3 MiB, 24576 MiB,10.01 W,14.0,35.43,
0 , 3 MiB, 24576 MiB,9.79 W,11.9,36.48,
0 , 3 MiB, 24576 MiB,9.63 W,10.7,37.52,
0 , 3 MiB, 24576 MiB,9.50 W,13.4,38.56,
0 , 3 MiB, 24576 MiB,9.72 W,15.1,39.6,
0 , 3 MiB, 24576 MiB,10.20 W,14.1,40.64,
0 , 3 MiB, 24576 MiB,10.05 W,14.5,41.68,
0 , 3 MiB, 24576 MiB,10.52 W,12.4,42.72,
