utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,9.77 W,5.5,1.07,0.5617,1192670936.0,
0 , 3 MiB, 24576 MiB,10.19 W,5.4,2.1,
0 , 3 MiB, 24576 MiB,10.17 W,6.6,3.14,
0 , 3 MiB, 24576 MiB,10.04 W,5.5,4.18,
0 , 3 MiB, 24576 MiB,10.16 W,6.1,5.22,
0 , 3 MiB, 24576 MiB,10.07 W,5.4,6.25,
0 , 3 MiB, 24576 MiB,10.32 W,5.8,7.29,
0 , 3 MiB, 24576 MiB,9.96 W,5.4,8.33,
0 , 3 MiB, 24576 MiB,10.40 W,5.8,9.36,
0 , 3 MiB, 24576 MiB,10.77 W,5.7,10.4,
0 , 3 MiB, 24576 MiB,10.22 W,5.5,11.44,
0 , 3 MiB, 24576 MiB,10.78 W,5.4,12.48,
0 , 3 MiB, 24576 MiB,10.43 W,5.4,13.51,
0 , 3 MiB, 24576 MiB,10.89 W,5.5,14.55,
0 , 3 MiB, 24576 MiB,10.60 W,5.5,15.59,
0 , 3 MiB, 24576 MiB,10.57 W,6.1,16.63,
0 , 3 MiB, 24576 MiB,10.11 W,6.6,17.68,
0 , 3 MiB, 24576 MiB,9.97 W,6.7,18.72,
0 , 3 MiB, 24576 MiB,9.88 W,6.5,19.76,
0 , 3 MiB, 24576 MiB,10.53 W,6.4,20.8,
0 , 3 MiB, 24576 MiB,10.37 W,6.4,21.85,
0 , 3 MiB, 24576 MiB,10.41 W,6.5,22.89,
0 , 3 MiB, 24576 MiB,10.44 W,6.4,23.93,
0 , 3 MiB, 24576 MiB,10.41 W,6.3,24.98,
0 , 3 MiB, 24576 MiB,10.53 W,6.2,26.02,
0 , 3 MiB, 24576 MiB,10.68 W,6.8,27.06,
0 , 3 MiB, 24576 MiB,10.22 W,6.4,28.11,
0 , 3 MiB, 24576 MiB,10.31 W,6.3,29.15,
0 , 3 MiB, 24576 MiB,10.80 W,6.2,30.19,
0 , 3 MiB, 24576 MiB,10.62 W,6.1,31.24,
0 , 3 MiB, 24576 MiB,10.54 W,6.2,32.28,
0 , 3 MiB, 24576 MiB,10.41 W,7.1,33.32,
0 , 3 MiB, 24576 MiB,10.46 W,6.3,34.37,
0 , 3 MiB, 24576 MiB,10.20 W,6.1,35.41,
0 , 3 MiB, 24576 MiB,10.08 W,6.4,36.45,
0 , 3 MiB, 24576 MiB,10.26 W,6.5,37.49,
0 , 3 MiB, 24576 MiB,10.48 W,6.3,38.54,
0 , 3 MiB, 24576 MiB,11.01 W,6.1,39.58,
0 , 3 MiB, 24576 MiB,10.58 W,6.1,40.62,
0 , 3 MiB, 24576 MiB,10.69 W,6.1,41.67,
0 , 3 MiB, 24576 MiB,10.31 W,6.8,42.71,
0 , 3 MiB, 24576 MiB,10.15 W,6.2,43.76,
0 , 3 MiB, 24576 MiB,10.13 W,6.2,44.8,
0 , 3 MiB, 24576 MiB,10.38 W,6.3,45.84,
0 , 3 MiB, 24576 MiB,10.27 W,6.1,46.89,
0 , 3 MiB, 24576 MiB,10.01 W,7.0,47.93,
0 , 3 MiB, 24576 MiB,10.05 W,6.3,48.97,
0 , 3 MiB, 24576 MiB,10.12 W,6.2,50.01,
0 , 3 MiB, 24576 MiB,10.75 W,6.1,51.05,
0 , 3 MiB, 24576 MiB,10.41 W,6.2,52.09,
0 , 3 MiB, 24576 MiB,10.17 W,6.6,53.13,
0 , 3 MiB, 24576 MiB,10.22 W,6.2,54.17,
0 , 3 MiB, 24576 MiB,9.50 W,6.3,55.21,
0 , 3 MiB, 24576 MiB,9.38 W,6.2,56.25,
0 , 3 MiB, 24576 MiB,10.08 W,6.5,57.29,
0 , 3 MiB, 24576 MiB,10.08 W,6.4,58.33,
0 , 3 MiB, 24576 MiB,9.68 W,6.0,59.37,
0 , 3 MiB, 24576 MiB,10.01 W,6.1,60.41,
0 , 3 MiB, 24576 MiB,10.24 W,6.3,61.45,
0 , 3 MiB, 24576 MiB,10.10 W,6.2,62.48,
0 , 3 MiB, 24576 MiB,10.12 W,7.2,63.52,
0 , 3 MiB, 24576 MiB,10.35 W,6.5,64.56,
0 , 3 MiB, 24576 MiB,10.23 W,7.4,65.6,
0 , 3 MiB, 24576 MiB,10.41 W,6.2,66.64,
0 , 3 MiB, 24576 MiB,9.89 W,6.3,67.68,
0 , 3 MiB, 24576 MiB,11.00 W,6.6,68.72,
0 , 3 MiB, 24576 MiB,10.62 W,6.4,69.75,
0 , 3 MiB, 24576 MiB,10.53 W,6.3,70.79,
0 , 3 MiB, 24576 MiB,10.12 W,6.2,71.83,
0 , 3 MiB, 24576 MiB,10.21 W,6.8,72.87,
0 , 3 MiB, 24576 MiB,10.38 W,6.3,73.91,
0 , 3 MiB, 24576 MiB,11.01 W,6.3,74.95,
0 , 3 MiB, 24576 MiB,10.86 W,6.3,75.99,
0 , 3 MiB, 24576 MiB,10.49 W,6.3,77.03,
0 , 3 MiB, 24576 MiB,9.98 W,6.9,78.07,
0 , 3 MiB, 24576 MiB,9.97 W,6.2,79.12,
0 , 3 MiB, 24576 MiB,10.31 W,6.2,80.16,
0 , 3 MiB, 24576 MiB,10.10 W,6.2,81.2,
0 , 3 MiB, 24576 MiB,10.23 W,6.4,82.25,
0 , 3 MiB, 24576 MiB,9.98 W,6.8,83.29,
0 , 3 MiB, 24576 MiB,9.67 W,7.9,84.33,
0 , 3 MiB, 24576 MiB,10.25 W,9.7,85.38,
0 , 3 MiB, 24576 MiB,9.92 W,7.9,86.42,
0 , 3 MiB, 24576 MiB,9.94 W,9.1,87.46,
0 , 3 MiB, 24576 MiB,9.44 W,8.3,88.5,
0 , 3 MiB, 24576 MiB,9.75 W,8.7,89.55,
0 , 3 MiB, 24576 MiB,9.66 W,8.5,90.59,
0 , 3 MiB, 24576 MiB,9.99 W,8.5,91.63,
0 , 3 MiB, 24576 MiB,10.16 W,8.1,92.68,
0 , 3 MiB, 24576 MiB,9.75 W,7.6,93.72,
0 , 3 MiB, 24576 MiB,10.61 W,7.7,94.76,
0 , 3 MiB, 24576 MiB,10.74 W,7.4,95.81,
0 , 3 MiB, 24576 MiB,10.66 W,7.4,96.85,
0 , 3 MiB, 24576 MiB,9.91 W,7.5,97.89,
0 , 3 MiB, 24576 MiB,9.85 W,7.8,98.94,
0 , 3 MiB, 24576 MiB,10.71 W,7.6,99.98,
0 , 3 MiB, 24576 MiB,10.26 W,7.4,101.02,
0 , 3 MiB, 24576 MiB,10.48 W,7.4,102.07,
0 , 3 MiB, 24576 MiB,10.35 W,8.1,103.11,
0 , 3 MiB, 24576 MiB,9.95 W,8.4,104.16,
0 , 3 MiB, 24576 MiB,10.66 W,8.3,105.2,
0 , 3 MiB, 24576 MiB,10.72 W,8.4,106.24,
0 , 3 MiB, 24576 MiB,10.24 W,7.4,107.28,
0 , 3 MiB, 24576 MiB,10.30 W,8.2,108.33,
0 , 3 MiB, 24576 MiB,10.14 W,7.3,109.37,
0 , 3 MiB, 24576 MiB,9.98 W,7.5,110.41,
0 , 3 MiB, 24576 MiB,10.08 W,7.5,111.46,
0 , 3 MiB, 24576 MiB,10.12 W,7.3,112.5,
0 , 3 MiB, 24576 MiB,9.81 W,7.9,113.54,
0 , 3 MiB, 24576 MiB,9.51 W,7.7,114.59,
0 , 3 MiB, 24576 MiB,10.15 W,7.7,115.63,
