utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,9.97 W,5.9,1.06,0.0273,1192670936.0,
0 , 3 MiB, 24576 MiB,9.29 W,5.8,2.09,
0 , 3 MiB, 24576 MiB,10.06 W,5.6,3.13,
0 , 3 MiB, 24576 MiB,10.50 W,5.6,4.16,
0 , 3 MiB, 24576 MiB,10.08 W,6.0,5.2,
0 , 3 MiB, 24576 MiB,9.78 W,5.8,6.23,
0 , 3 MiB, 24576 MiB,10.12 W,6.0,7.26,
0 , 3 MiB, 24576 MiB,10.35 W,5.6,8.3,
0 , 3 MiB, 24576 MiB,10.85 W,5.9,9.34,
0 , 3 MiB, 24576 MiB,10.23 W,5.7,10.37,
0 , 3 MiB, 24576 MiB,10.52 W,6.9,11.41,
0 , 3 MiB, 24576 MiB,10.07 W,5.8,12.44,
0 , 3 MiB, 24576 MiB,10.07 W,5.9,13.47,
0 , 3 MiB, 24576 MiB,9.59 W,5.8,14.51,
0 , 3 MiB, 24576 MiB,10.20 W,5.9,15.54,
0 , 3 MiB, 24576 MiB,9.91 W,5.7,16.58,
0 , 3 MiB, 24576 MiB,9.98 W,6.3,17.61,
0 , 3 MiB, 24576 MiB,9.81 W,6.5,18.65,
0 , 3 MiB, 24576 MiB,9.76 W,6.4,19.68,
0 , 3 MiB, 24576 MiB,10.03 W,6.2,20.72,
0 , 3 MiB, 24576 MiB,10.42 W,6.7,21.75,
0 , 3 MiB, 24576 MiB,10.05 W,6.7,22.78,
0 , 3 MiB, 24576 MiB,10.58 W,6.5,23.82,
0 , 3 MiB, 24576 MiB,10.10 W,6.6,24.85,
0 , 3 MiB, 24576 MiB,9.59 W,6.3,25.89,
0 , 3 MiB, 24576 MiB,9.69 W,6.9,26.92,
0 , 3 MiB, 24576 MiB,9.59 W,7.2,27.96,
0 , 3 MiB, 24576 MiB,10.11 W,6.4,28.99,
0 , 3 MiB, 24576 MiB,10.56 W,6.6,30.03,
0 , 3 MiB, 24576 MiB,10.69 W,6.2,31.06,
0 , 3 MiB, 24576 MiB,10.23 W,6.2,32.1,
