utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
2 %, 23497 MiB, 24576 MiB,57.98 W,10.8,1.12,0.36,393592883,
5 %, 23633 MiB, 24576 MiB,58.53 W,11.0,2.19,
3 %, 23633 MiB, 24576 MiB,59.07 W,10.9,3.26,
3 %, 23633 MiB, 24576 MiB,58.65 W,11.6,4.33,
3 %, 23633 MiB, 24576 MiB,58.69 W,10.9,5.4,
3 %, 23633 MiB, 24576 MiB,59.13 W,11.3,6.47,
3 %, 23633 MiB, 24576 MiB,58.61 W,10.9,7.55,
3 %, 23633 MiB, 24576 MiB,58.60 W,11.0,8.62,
3 %, 23633 MiB, 24576 MiB,59.11 W,10.9,9.69,
3 %, 23633 MiB, 24576 MiB,58.77 W,11.2,10.76,
3 %, 23633 MiB, 24576 MiB,58.66 W,11.2,11.83,
3 %, 23633 MiB, 24576 MiB,59.26 W,10.9,12.9,
3 %, 23633 MiB, 24576 MiB,58.78 W,10.6,13.97,
3 %, 23633 MiB, 24576 MiB,58.79 W,11.1,15.05,
3 %, 23633 MiB, 24576 MiB,59.37 W,10.8,16.11,
3 %, 23633 MiB, 24576 MiB,59.08 W,10.9,17.19,
3 %, 23633 MiB, 24576 MiB,59.25 W,11.1,18.26,
3 %, 23633 MiB, 24576 MiB,59.09 W,11.5,19.33,
3 %, 23633 MiB, 24576 MiB,58.95 W,10.8,20.41,
3 %, 23633 MiB, 24576 MiB,58.56 W,11.1,21.48,
3 %, 23633 MiB, 24576 MiB,59.27 W,11.0,22.55,
3 %, 23633 MiB, 24576 MiB,58.95 W,11.1,23.62,
3 %, 23633 MiB, 24576 MiB,58.75 W,10.8,24.69,
3 %, 23633 MiB, 24576 MiB,58.80 W,11.1,25.78,
3 %, 23633 MiB, 24576 MiB,59.34 W,11.3,26.86,
3 %, 23633 MiB, 24576 MiB,58.76 W,10.8,27.93,
3 %, 23633 MiB, 24576 MiB,58.50 W,11.0,29.01,
3 %, 23633 MiB, 24576 MiB,58.78 W,11.0,30.09,
3 %, 23633 MiB, 24576 MiB,59.11 W,10.8,31.16,
3 %, 23633 MiB, 24576 MiB,59.04 W,10.7,32.24,
3 %, 23633 MiB, 24576 MiB,58.72 W,10.8,33.3,
3 %, 23633 MiB, 24576 MiB,59.15 W,11.8,34.38,
3 %, 23633 MiB, 24576 MiB,59.15 W,11.1,35.45,
3 %, 23633 MiB, 24576 MiB,59.03 W,11.0,36.52,
3 %, 23633 MiB, 24576 MiB,59.65 W,10.9,37.59,
3 %, 23633 MiB, 24576 MiB,59.36 W,10.8,38.66,
3 %, 23633 MiB, 24576 MiB,59.05 W,11.2,39.75,
3 %, 23633 MiB, 24576 MiB,59.22 W,10.8,40.82,
3 %, 23633 MiB, 24576 MiB,59.34 W,11.8,41.89,
3 %, 23633 MiB, 24576 MiB,59.02 W,10.8,42.96,
3 %, 23633 MiB, 24576 MiB,59.01 W,11.0,44.04,
3 %, 23633 MiB, 24576 MiB,59.40 W,11.0,45.12,
3 %, 23633 MiB, 24576 MiB,59.18 W,10.7,46.2,
3 %, 23633 MiB, 24576 MiB,58.93 W,10.7,47.27,
3 %, 23633 MiB, 24576 MiB,59.54 W,10.8,48.34,
3 %, 23633 MiB, 24576 MiB,58.90 W,11.6,49.42,
3 %, 23633 MiB, 24576 MiB,59.27 W,10.8,50.5,
3 %, 23633 MiB, 24576 MiB,59.24 W,11.0,51.57,
3 %, 23633 MiB, 24576 MiB,59.37 W,10.9,52.64,
