utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,10.63 W,14.0,1.07, 0.3694,393592883,
0 %, 3 MiB, 24576 MiB,10.68 W,14.0,2.1,
0 %, 3 MiB, 24576 MiB,10.89 W,14.1,3.14,
0 %, 3 MiB, 24576 MiB,10.80 W,14.1,4.17,
0 %, 3 MiB, 24576 MiB,10.34 W,13.8,5.21,
0 %, 3 MiB, 24576 MiB,10.58 W,14.0,6.25,
0 %, 3 MiB, 24576 MiB,10.03 W,14.1,7.28,
0 %, 3 MiB, 24576 MiB,10.24 W,13.9,8.31,
0 %, 3 MiB, 24576 MiB,11.32 W,14.3,9.35,
0 %, 3 MiB, 24576 MiB,10.74 W,11.9,10.38,
0 %, 3 MiB, 24576 MiB,10.11 W,12.1,11.41,
0 %, 3 MiB, 24576 MiB,10.36 W,12.0,12.45,
0 %, 3 MiB, 24576 MiB,10.68 W,11.6,13.48,
0 %, 3 MiB, 24576 MiB,10.44 W,12.0,14.52,
0 %, 3 MiB, 24576 MiB,10.48 W,12.0,15.55,
0 %, 3 MiB, 24576 MiB,10.36 W,11.9,16.59,
0 %, 3 MiB, 24576 MiB,10.01 W,11.6,17.62,
0 %, 3 MiB, 24576 MiB,10.87 W,12.0,18.65,
0 %, 3 MiB, 24576 MiB,10.76 W,11.9,19.69,
0 %, 3 MiB, 24576 MiB,10.84 W,11.8,20.73,
0 %, 3 MiB, 24576 MiB,11.48 W,11.9,21.75,
0 %, 3 MiB, 24576 MiB,11.48 W,11.8,22.79,
0 %, 3 MiB, 24576 MiB,11.63 W,12.0,23.82,
0 %, 3 MiB, 24576 MiB,10.94 W,12.6,24.86,
0 %, 3 MiB, 24576 MiB,10.37 W,11.8,25.89,
0 %, 3 MiB, 24576 MiB,10.56 W,11.6,26.93,
0 %, 3 MiB, 24576 MiB,10.84 W,12.4,27.96,
0 %, 3 MiB, 24576 MiB,11.16 W,12.0,28.99,
0 %, 3 MiB, 24576 MiB,11.07 W,11.6,30.03,
0 %, 3 MiB, 24576 MiB,10.68 W,12.0,31.06,
