utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,10.61 W,12.8,1.07,0.5422,567946840.0,
0 , 3 MiB, 24576 MiB,10.57 W,12.9,2.1,
0 , 3 MiB, 24576 MiB,11.42 W,12.4,3.14,
0 , 3 MiB, 24576 MiB,11.00 W,12.7,4.17,
0 , 3 MiB, 24576 MiB,10.14 W,12.8,5.21,
0 , 3 MiB, 24576 MiB,10.64 W,11.4,6.24,
0 , 3 MiB, 24576 MiB,10.41 W,12.6,7.28,
0 , 3 MiB, 24576 MiB,10.99 W,12.7,8.31,
0 , 3 MiB, 24576 MiB,11.24 W,12.7,9.35,
0 , 3 MiB, 24576 MiB,10.47 W,12.2,10.39,
0 , 3 MiB, 24576 MiB,10.62 W,12.5,11.43,
0 , 3 MiB, 24576 MiB,11.03 W,12.9,12.47,
0 , 3 MiB, 24576 MiB,10.82 W,15.3,13.51,
0 , 3 MiB, 24576 MiB,10.58 W,14.9,14.55,
0 , 3 MiB, 24576 MiB,10.67 W,15.5,15.59,
0 , 3 MiB, 24576 MiB,10.39 W,15.2,16.63,
0 , 3 MiB, 24576 MiB,10.42 W,15.6,17.67,
0 , 3 MiB, 24576 MiB,10.54 W,14.5,18.71,
0 , 3 MiB, 24576 MiB,11.18 W,14.9,19.75,
0 , 3 MiB, 24576 MiB,11.01 W,15.5,20.8,
0 , 3 MiB, 24576 MiB,10.66 W,15.1,21.84,
0 , 3 MiB, 24576 MiB,11.05 W,14.8,22.88,
0 , 3 MiB, 24576 MiB,11.05 W,14.2,23.92,
0 , 3 MiB, 24576 MiB,11.17 W,14.5,24.97,
0 , 3 MiB, 24576 MiB,10.83 W,14.1,26.01,
0 , 3 MiB, 24576 MiB,10.89 W,14.3,27.05,
0 , 3 MiB, 24576 MiB,10.58 W,14.6,28.09,
0 , 3 MiB, 24576 MiB,10.39 W,14.6,29.13,
0 , 3 MiB, 24576 MiB,10.61 W,15.4,30.17,
0 , 3 MiB, 24576 MiB,11.12 W,14.5,31.21,
0 , 3 MiB, 24576 MiB,10.59 W,14.6,32.26,
0 , 3 MiB, 24576 MiB,10.83 W,15.1,33.3,
0 , 3 MiB, 24576 MiB,10.71 W,14.4,34.34,
0 , 3 MiB, 24576 MiB,10.75 W,13.8,35.38,
0 , 3 MiB, 24576 MiB,11.53 W,14.2,36.42,
0 , 3 MiB, 24576 MiB,11.81 W,15.0,37.47,
0 , 3 MiB, 24576 MiB,10.88 W,14.9,38.51,
0 , 3 MiB, 24576 MiB,10.43 W,14.7,39.55,
0 , 3 MiB, 24576 MiB,11.26 W,14.9,40.59,
0 , 3 MiB, 24576 MiB,11.02 W,14.6,41.63,
0 , 3 MiB, 24576 MiB,10.85 W,14.1,42.67,
0 , 3 MiB, 24576 MiB,10.72 W,13.8,43.71,
0 , 3 MiB, 24576 MiB,11.27 W,15.1,44.75,
0 , 3 MiB, 24576 MiB,10.54 W,14.3,45.79,
0 , 3 MiB, 24576 MiB,10.59 W,14.1,46.83,
0 , 3 MiB, 24576 MiB,10.57 W,14.5,47.88,
0 , 3 MiB, 24576 MiB,10.57 W,14.4,48.92,
0 , 3 MiB, 24576 MiB,10.52 W,13.9,49.96,
0 , 3 MiB, 24576 MiB,10.18 W,12.8,51.0,
0 , 3 MiB, 24576 MiB,10.64 W,13.3,52.14,
0 , 3 MiB, 24576 MiB,11.04 W,13.3,53.18,
0 , 3 MiB, 24576 MiB,10.98 W,13.6,54.22,
0 , 3 MiB, 24576 MiB,11.28 W,12.8,55.27,
0 , 3 MiB, 24576 MiB,11.24 W,12.6,56.31,
0 , 3 MiB, 24576 MiB,10.54 W,12.7,57.35,
0 , 3 MiB, 24576 MiB,11.22 W,12.2,58.4,
0 , 3 MiB, 24576 MiB,10.76 W,12.4,59.44,
0 , 3 MiB, 24576 MiB,11.33 W,13.1,60.48,
0 , 3 MiB, 24576 MiB,10.90 W,12.9,61.52,
0 , 3 MiB, 24576 MiB,10.94 W,12.6,62.56,
0 , 3 MiB, 24576 MiB,10.97 W,13.2,63.6,
0 , 3 MiB, 24576 MiB,10.57 W,12.6,64.64,
0 , 3 MiB, 24576 MiB,11.45 W,12.2,65.69,
0 , 3 MiB, 24576 MiB,11.29 W,12.5,66.72,
0 , 3 MiB, 24576 MiB,11.27 W,12.5,67.76,
0 , 3 MiB, 24576 MiB,11.81 W,12.4,68.81,
0 , 3 MiB, 24576 MiB,11.43 W,12.2,69.85,
0 , 3 MiB, 24576 MiB,10.70 W,12.2,70.89,
0 , 3 MiB, 24576 MiB,11.09 W,12.3,71.93,
0 , 3 MiB, 24576 MiB,10.94 W,12.9,72.97,
0 , 3 MiB, 24576 MiB,10.87 W,12.5,74.01,
0 , 3 MiB, 24576 MiB,10.55 W,13.4,75.05,
0 , 3 MiB, 24576 MiB,11.20 W,13.2,76.09,
0 , 3 MiB, 24576 MiB,10.98 W,12.7,77.14,
0 , 3 MiB, 24576 MiB,11.10 W,13.8,78.18,
0 , 3 MiB, 24576 MiB,10.80 W,12.2,79.22,
0 , 3 MiB, 24576 MiB,11.08 W,12.9,80.26,
0 , 3 MiB, 24576 MiB,10.76 W,11.9,81.3,
0 , 3 MiB, 24576 MiB,10.63 W,12.3,82.34,
0 , 3 MiB, 24576 MiB,10.85 W,12.1,83.38,
0 , 3 MiB, 24576 MiB,10.54 W,11.8,84.42,
0 , 3 MiB, 24576 MiB,10.32 W,12.3,85.46,
0 , 3 MiB, 24576 MiB,11.00 W,12.3,86.5,
0 , 3 MiB, 24576 MiB,10.58 W,12.6,87.54,
0 , 3 MiB, 24576 MiB,10.79 W,12.4,88.58,
0 , 3 MiB, 24576 MiB,11.24 W,12.3,89.63,
0 , 3 MiB, 24576 MiB,11.22 W,12.9,90.67,
0 , 3 MiB, 24576 MiB,11.08 W,12.6,91.71,
0 , 3 MiB, 24576 MiB,10.93 W,12.2,92.74,
0 , 3 MiB, 24576 MiB,10.91 W,14.4,93.79,
0 , 3 MiB, 24576 MiB,10.60 W,17.0,94.83,
0 , 3 MiB, 24576 MiB,10.96 W,18.6,95.87,
0 , 3 MiB, 24576 MiB,10.67 W,18.4,96.91,
0 , 3 MiB, 24576 MiB,11.11 W,18.5,97.95,
0 , 3 MiB, 24576 MiB,11.34 W,15.9,98.99,
0 , 3 MiB, 24576 MiB,11.04 W,15.6,100.03,
0 , 3 MiB, 24576 MiB,10.62 W,15.9,101.07,
0 , 3 MiB, 24576 MiB,10.66 W,15.1,102.11,
0 , 3 MiB, 24576 MiB,11.01 W,15.0,103.15,
0 , 3 MiB, 24576 MiB,10.44 W,15.4,104.19,
0 , 3 MiB, 24576 MiB,10.64 W,17.6,105.23,
0 , 3 MiB, 24576 MiB,11.08 W,14.5,106.28,
0 , 3 MiB, 24576 MiB,10.90 W,14.0,107.32,
0 , 3 MiB, 24576 MiB,11.00 W,16.0,108.36,
0 , 3 MiB, 24576 MiB,10.39 W,16.5,109.4,
0 , 3 MiB, 24576 MiB,10.98 W,15.7,110.44,
