utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,10.96 W,13.8,1.06,0.5423,567946840.0,
0 , 3 MiB, 24576 MiB,10.45 W,14.0,2.09,
0 , 3 MiB, 24576 MiB,11.07 W,15.0,3.13,
0 , 3 MiB, 24576 MiB,11.14 W,13.5,4.17,
0 , 3 MiB, 24576 MiB,9.98 W,13.6,5.21,
0 , 3 MiB, 24576 MiB,10.12 W,10.8,6.24,
0 , 3 MiB, 24576 MiB,10.18 W,13.1,7.29,
0 , 3 MiB, 24576 MiB,10.04 W,13.7,8.32,
0 , 3 MiB, 24576 MiB,10.13 W,13.7,9.36,
0 , 3 MiB, 24576 MiB,10.54 W,14.3,10.39,
0 , 3 MiB, 24576 MiB,10.08 W,14.5,11.43,
0 , 3 MiB, 24576 MiB,10.56 W,12.7,12.47,
0 , 3 MiB, 24576 MiB,9.95 W,10.9,13.51,
0 , 3 MiB, 24576 MiB,10.47 W,13.7,14.54,
0 , 3 MiB, 24576 MiB,9.85 W,14.7,15.58,
0 , 3 MiB, 24576 MiB,10.75 W,15.0,16.62,
0 , 3 MiB, 24576 MiB,10.82 W,14.8,17.66,
0 , 3 MiB, 24576 MiB,10.63 W,14.2,18.7,
0 , 3 MiB, 24576 MiB,10.02 W,10.9,19.74,
0 , 3 MiB, 24576 MiB,10.16 W,11.4,20.78,
0 , 3 MiB, 24576 MiB,10.25 W,14.9,21.81,
0 , 3 MiB, 24576 MiB,10.83 W,14.9,22.85,
0 , 3 MiB, 24576 MiB,10.24 W,13.1,23.89,
0 , 3 MiB, 24576 MiB,10.25 W,14.6,24.93,
0 , 3 MiB, 24576 MiB,10.56 W,14.0,25.97,
0 , 3 MiB, 24576 MiB,10.80 W,13.2,27.01,
0 , 3 MiB, 24576 MiB,10.40 W,12.6,28.05,
0 , 3 MiB, 24576 MiB,10.34 W,14.5,29.09,
