utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
1 , 23163 MiB, 24576 MiB,58.14 W,14.5,1.12,0.512,3862582360.0, 
0 , 23163 MiB, 24576 MiB,58.12 W,15.4,2.18,
0 , 23163 MiB, 24576 MiB,58.21 W,12.3,3.24,
0 , 23163 MiB, 24576 MiB,58.16 W,10.7,4.3,
0 , 23163 MiB, 24576 MiB,58.18 W,13.7,5.36,
0 , 23163 MiB, 24576 MiB,58.17 W,14.8,6.42,
0 , 23163 MiB, 24576 MiB,58.30 W,13.6,7.47,
0 , 23163 MiB, 24576 MiB,58.03 W,14.4,8.53,
0 , 23163 MiB, 24576 MiB,58.16 W,11.4,9.59,
0 , 23163 MiB, 24576 MiB,58.20 W,14.2,10.65,
0 , 23163 MiB, 24576 MiB,58.28 W,14.6,11.71,
0 , 23163 MiB, 24576 MiB,58.19 W,15.3,12.77,
0 , 23163 MiB, 24576 MiB,58.30 W,11.7,13.83,
0 , 23163 MiB, 24576 MiB,58.38 W,13.5,14.89,
0 , 23163 MiB, 24576 MiB,58.22 W,13.5,16.05,
0 , 23163 MiB, 24576 MiB,18.78 W,14.6,17.12,
0 , 23163 MiB, 24576 MiB,11.44 W,13.1,18.18,
1 , 23243 MiB, 24576 MiB,58.09 W,12.7,19.25,
4 , 23575 MiB, 24576 MiB,58.22 W,15.4,20.35,
13 , 23597 MiB, 24576 MiB,61.91 W,14.6,21.45,
8 , 23597 MiB, 24576 MiB,61.63 W,14.5,22.55,
9 , 23597 MiB, 24576 MiB,62.19 W,13.4,23.66,
9 , 23597 MiB, 24576 MiB,62.56 W,14.7,24.77,
9 , 23597 MiB, 24576 MiB,63.05 W,15.6,25.88,
9 , 23597 MiB, 24576 MiB,63.56 W,13.1,26.99,
9 , 23597 MiB, 24576 MiB,63.03 W,15.0,28.09,
8 , 23597 MiB, 24576 MiB,60.77 W,14.9,29.21,
8 , 23597 MiB, 24576 MiB,60.83 W,13.5,30.32,
9 , 23597 MiB, 24576 MiB,60.75 W,11.7,31.43,
8 , 23597 MiB, 24576 MiB,60.71 W,15.6,32.53,
9 , 23597 MiB, 24576 MiB,60.81 W,15.7,33.65,
8 , 23597 MiB, 24576 MiB,60.90 W,15.2,34.75,
8 , 23597 MiB, 24576 MiB,60.92 W,11.3,35.87,
9 , 23597 MiB, 24576 MiB,61.69 W,15.3,36.96,
9 , 23597 MiB, 24576 MiB,61.39 W,16.0,38.06,
9 , 23597 MiB, 24576 MiB,61.85 W,14.3,39.16,
9 , 23597 MiB, 24576 MiB,61.21 W,11.3,40.26,
8 , 23597 MiB, 24576 MiB,61.20 W,13.4,41.36,
9 , 23597 MiB, 24576 MiB,61.16 W,15.7,42.46,
8 , 23597 MiB, 24576 MiB,60.99 W,14.5,43.56,
9 , 23597 MiB, 24576 MiB,61.19 W,13.7,44.66,
9 , 23597 MiB, 24576 MiB,60.72 W,14.6,45.78,
8 , 23597 MiB, 24576 MiB,60.78 W,15.1,46.9,
9 , 23597 MiB, 24576 MiB,61.06 W,13.7,48.0,
9 , 23597 MiB, 24576 MiB,60.83 W,12.2,49.11,
9 , 23597 MiB, 24576 MiB,60.80 W,12.4,50.21,
8 , 23597 MiB, 24576 MiB,61.15 W,13.8,51.31,
8 , 23597 MiB, 24576 MiB,60.85 W,15.0,52.41,
8 , 23597 MiB, 24576 MiB,60.96 W,15.5,53.51,
8 , 23597 MiB, 24576 MiB,60.79 W,12.8,54.61,
8 , 23597 MiB, 24576 MiB,60.31 W,15.3,55.74,
8 , 23597 MiB, 24576 MiB,61.19 W,14.6,56.85,
8 , 23597 MiB, 24576 MiB,61.31 W,13.5,57.95,
8 , 23597 MiB, 24576 MiB,61.07 W,11.3,59.05,
8 , 23597 MiB, 24576 MiB,61.03 W,12.9,60.16,
9 , 23597 MiB, 24576 MiB,61.25 W,13.4,61.25,
8 , 23597 MiB, 24576 MiB,61.39 W,14.7,62.35,
8 , 23597 MiB, 24576 MiB,61.24 W,14.6,63.45,
8 , 23597 MiB, 24576 MiB,61.13 W,13.1,64.55,
8 , 23597 MiB, 24576 MiB,61.22 W,14.2,65.65,
8 , 23597 MiB, 24576 MiB,61.09 W,15.9,66.75,
8 , 23597 MiB, 24576 MiB,61.10 W,14.9,67.84,
8 , 23597 MiB, 24576 MiB,60.73 W,12.2,68.96,
8 , 23597 MiB, 24576 MiB,60.78 W,15.5,70.06,
8 , 23597 MiB, 24576 MiB,60.77 W,15.0,71.19,
8 , 23597 MiB, 24576 MiB,61.29 W,14.2,72.29,
9 , 23597 MiB, 24576 MiB,61.78 W,12.2,73.42,
9 , 23597 MiB, 24576 MiB,62.40 W,15.4,74.52,
8 , 23597 MiB, 24576 MiB,62.14 W,14.3,75.62,
8 , 23597 MiB, 24576 MiB,62.18 W,13.9,76.73,
9 , 23597 MiB, 24576 MiB,62.20 W,13.5,77.84,
9 , 23597 MiB, 24576 MiB,62.87 W,14.2,78.96,
9 , 23597 MiB, 24576 MiB,63.20 W,15.9,80.07,
9 , 23597 MiB, 24576 MiB,63.47 W,11.9,81.18,
9 , 23597 MiB, 24576 MiB,63.08 W,14.9,82.38,
8 , 23597 MiB, 24576 MiB,63.23 W,13.4,83.48,
9 , 23597 MiB, 24576 MiB,63.00 W,15.2,84.58,
8 , 23597 MiB, 24576 MiB,62.95 W,11.2,85.68,
8 , 23597 MiB, 24576 MiB,62.22 W,13.6,86.78,
8 , 23597 MiB, 24576 MiB,62.09 W,15.2,87.89,
9 , 23597 MiB, 24576 MiB,63.32 W,14.6,88.99,
9 , 23597 MiB, 24576 MiB,63.23 W,13.9,90.1,
9 , 23597 MiB, 24576 MiB,62.67 W,13.6,91.2,
8 , 23597 MiB, 24576 MiB,63.54 W,16.0,92.3,
9 , 23597 MiB, 24576 MiB,63.52 W,14.6,93.4,
9 , 23597 MiB, 24576 MiB,63.13 W,12.8,94.5,
10 , 23597 MiB, 24576 MiB,63.25 W,14.6,95.6,
9 , 23597 MiB, 24576 MiB,62.79 W,15.1,96.71,
8 , 23597 MiB, 24576 MiB,61.18 W,14.8,97.85,
9 , 23597 MiB, 24576 MiB,61.49 W,14.6,98.95,
9 , 23597 MiB, 24576 MiB,61.35 W,16.0,100.05,
9 , 23597 MiB, 24576 MiB,61.29 W,14.0,101.15,
9 , 23597 MiB, 24576 MiB,61.49 W,11.1,102.25,
9 , 23597 MiB, 24576 MiB,64.10 W,14.3,103.35,
9 , 23597 MiB, 24576 MiB,63.80 W,14.5,104.45,
9 , 23597 MiB, 24576 MiB,63.48 W,14.6,105.55,
10 , 23597 MiB, 24576 MiB,63.68 W,13.2,106.65,
9 , 23597 MiB, 24576 MiB,63.20 W,12.4,107.75,
9 , 23597 MiB, 24576 MiB,63.28 W,15.2,108.85,
9 , 23597 MiB, 24576 MiB,62.36 W,14.5,109.94,
9 , 23597 MiB, 24576 MiB,62.47 W,15.2,111.04,
9 , 23597 MiB, 24576 MiB,61.90 W,11.5,112.14,
9 , 23597 MiB, 24576 MiB,61.87 W,16.1,113.24,
9 , 23597 MiB, 24576 MiB,61.75 W,14.6,114.34,
9 , 23597 MiB, 24576 MiB,61.49 W,15.4,115.46,
9 , 23597 MiB, 24576 MiB,61.40 W,11.6,116.56,
9 , 23597 MiB, 24576 MiB,61.50 W,14.0,117.65,
8 , 23597 MiB, 24576 MiB,61.39 W,14.9,118.76,
9 , 23597 MiB, 24576 MiB,61.99 W,15.5,119.86,
9 , 23597 MiB, 24576 MiB,61.68 W,11.6,120.96,
9 , 23597 MiB, 24576 MiB,61.47 W,12.8,122.05,
9 , 23597 MiB, 24576 MiB,61.69 W,16.0,123.15,
9 , 23597 MiB, 24576 MiB,61.76 W,14.1,124.25,
9 , 23597 MiB, 24576 MiB,61.45 W,14.1,125.35,
9 , 23597 MiB, 24576 MiB,61.57 W,11.4,126.45,
9 , 23597 MiB, 24576 MiB,61.42 W,16.1,127.55,
9 , 23597 MiB, 24576 MiB,64.03 W,15.2,128.64,
9 , 23597 MiB, 24576 MiB,60.87 W,15.2,129.75,
8 , 23597 MiB, 24576 MiB,60.95 W,11.2,130.87,
9 , 23597 MiB, 24576 MiB,61.97 W,15.4,131.97,
9 , 23597 MiB, 24576 MiB,61.63 W,14.8,133.06,
9 , 23597 MiB, 24576 MiB,64.31 W,12.9,134.16,
9 , 23597 MiB, 24576 MiB,64.09 W,13.8,135.26,
9 , 23597 MiB, 24576 MiB,63.94 W,15.6,136.36,
9 , 23597 MiB, 24576 MiB,63.91 W,14.6,137.46,
9 , 23597 MiB, 24576 MiB,63.48 W,12.7,138.57,
9 , 23597 MiB, 24576 MiB,61.30 W,15.2,139.69,
9 , 23597 MiB, 24576 MiB,61.24 W,15.7,140.79,
