utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,10.37 W,10.8,1.07,0.512,3862582360.0, 
0 , 3 MiB, 24576 MiB,10.23 W,14.1,2.11,
0 , 3 MiB, 24576 MiB,10.07 W,12.7,3.15,
0 , 3 MiB, 24576 MiB,10.18 W,15.1,4.18,
0 , 3 MiB, 24576 MiB,10.44 W,11.8,5.22,
0 , 3 MiB, 24576 MiB,10.18 W,11.4,6.26,
0 , 3 MiB, 24576 MiB,10.05 W,14.3,7.3,
0 , 3 MiB, 24576 MiB,10.34 W,13.8,8.34,
0 , 3 MiB, 24576 MiB,10.34 W,11.6,9.38,
0 , 3 MiB, 24576 MiB,10.30 W,10.7,10.42,
0 , 3 MiB, 24576 MiB,11.33 W,13.8,11.46,
0 , 3 MiB, 24576 MiB,10.80 W,13.7,12.51,
0 , 3 MiB, 24576 MiB,11.61 W,13.6,13.55,
0 , 3 MiB, 24576 MiB,10.64 W,13.8,14.59,
0 , 3 MiB, 24576 MiB,10.29 W,17.0,15.64,
0 , 3 MiB, 24576 MiB,10.26 W,17.1,16.68,
0 , 3 MiB, 24576 MiB,10.10 W,17.3,17.73,
0 , 3 MiB, 24576 MiB,10.01 W,14.8,18.77,
0 , 3 MiB, 24576 MiB,10.30 W,16.7,19.82,
0 , 3 MiB, 24576 MiB,10.17 W,17.7,20.86,
0 , 3 MiB, 24576 MiB,10.52 W,17.2,21.9,
0 , 3 MiB, 24576 MiB,11.26 W,15.6,22.95,
0 , 3 MiB, 24576 MiB,10.10 W,17.3,24.0,
0 , 3 MiB, 24576 MiB,10.41 W,16.6,25.04,
0 , 3 MiB, 24576 MiB,10.39 W,17.4,26.09,
0 , 3 MiB, 24576 MiB,10.43 W,14.5,27.14,
0 , 3 MiB, 24576 MiB,10.36 W,18.0,28.19,
0 , 3 MiB, 24576 MiB,10.48 W,18.3,29.23,
0 , 3 MiB, 24576 MiB,10.66 W,16.3,30.28,
0 , 3 MiB, 24576 MiB,10.67 W,14.5,31.33,
0 , 3 MiB, 24576 MiB,10.53 W,17.5,32.37,
