utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,10.87 W,15.2,1.08,0.5122,3862582360.0, 
0 , 3 MiB, 24576 MiB,10.69 W,13.7,2.11,
0 , 3 MiB, 24576 MiB,10.85 W,14.0,3.15,
0 , 3 MiB, 24576 MiB,10.75 W,15.2,4.19,
0 , 3 MiB, 24576 MiB,11.12 W,15.1,5.23,
0 , 3 MiB, 24576 MiB,10.66 W,13.6,6.27,
0 , 3 MiB, 24576 MiB,10.50 W,14.2,7.3,
0 , 3 MiB, 24576 MiB,9.93 W,14.9,8.34,
0 , 3 MiB, 24576 MiB,10.46 W,13.3,9.38,
0 , 3 MiB, 24576 MiB,10.44 W,11.2,10.42,
0 , 3 MiB, 24576 MiB,10.25 W,14.2,11.46,
0 , 3 MiB, 24576 MiB,11.06 W,15.0,12.5,
0 , 3 MiB, 24576 MiB,10.72 W,15.0,13.54,
0 , 3 MiB, 24576 MiB,10.32 W,11.3,14.58,
0 , 3 MiB, 24576 MiB,10.18 W,13.0,15.61,
0 , 3 MiB, 24576 MiB,10.90 W,15.2,16.65,
0 , 3 MiB, 24576 MiB,10.33 W,12.2,17.69,
0 , 3 MiB, 24576 MiB,10.93 W,14.0,18.73,
0 , 3 MiB, 24576 MiB,10.95 W,14.9,19.77,
0 , 3 MiB, 24576 MiB,10.79 W,14.1,20.81,
0 , 3 MiB, 24576 MiB,10.50 W,14.1,21.85,
0 , 3 MiB, 24576 MiB,10.74 W,15.0,22.9,
0 , 3 MiB, 24576 MiB,10.88 W,12.9,23.94,
0 , 3 MiB, 24576 MiB,10.81 W,14.6,24.98,
0 , 3 MiB, 24576 MiB,10.59 W,15.5,26.03,
0 , 3 MiB, 24576 MiB,10.62 W,12.7,27.07,
0 , 3 MiB, 24576 MiB,10.96 W,15.1,28.11,
0 , 3 MiB, 24576 MiB,10.52 W,13.9,29.16,
0 , 3 MiB, 24576 MiB,10.28 W,11.9,30.2,
0 , 3 MiB, 24576 MiB,10.40 W,15.7,31.24,
0 , 3 MiB, 24576 MiB,10.54 W,15.2,32.28,
0 , 3 MiB, 24576 MiB,10.40 W,13.7,33.33,
0 , 3 MiB, 24576 MiB,9.97 W,13.1,34.37,
0 , 3 MiB, 24576 MiB,10.53 W,16.2,35.41,
0 , 3 MiB, 24576 MiB,10.48 W,12.4,36.46,
0 , 3 MiB, 24576 MiB,10.38 W,15.8,37.51,
0 , 3 MiB, 24576 MiB,10.92 W,14.4,38.56,
0 , 3 MiB, 24576 MiB,10.73 W,11.2,39.6,
0 , 3 MiB, 24576 MiB,10.12 W,12.8,40.64,
0 , 3 MiB, 24576 MiB,10.25 W,15.1,41.68,
0 , 3 MiB, 24576 MiB,10.65 W,15.0,42.73,
0 , 3 MiB, 24576 MiB,10.93 W,14.8,43.78,
0 , 3 MiB, 24576 MiB,10.52 W,11.5,44.83,
0 , 3 MiB, 24576 MiB,10.19 W,12.8,45.88,
0 , 3 MiB, 24576 MiB,10.65 W,13.8,46.93,
0 , 3 MiB, 24576 MiB,10.45 W,14.7,47.98,
0 , 3 MiB, 24576 MiB,10.54 W,14.3,49.03,
0 , 3 MiB, 24576 MiB,9.70 W,14.1,50.09,
0 , 3 MiB, 24576 MiB,9.88 W,11.5,51.13,
0 , 3 MiB, 24576 MiB,10.08 W,14.5,52.18,
0 , 3 MiB, 24576 MiB,10.14 W,14.7,53.24,
0 , 3 MiB, 24576 MiB,10.65 W,14.7,54.29,
0 , 3 MiB, 24576 MiB,10.57 W,12.9,55.34,
0 , 3 MiB, 24576 MiB,10.16 W,12.5,56.39,
0 , 3 MiB, 24576 MiB,10.55 W,13.3,57.44,
0 , 3 MiB, 24576 MiB,9.55 W,14.9,58.49,
0 , 3 MiB, 24576 MiB,9.89 W,14.5,59.54,
0 , 3 MiB, 24576 MiB,10.39 W,12.7,60.59,
0 , 3 MiB, 24576 MiB,10.54 W,11.2,61.64,
0 , 3 MiB, 24576 MiB,9.97 W,14.7,62.69,
0 , 3 MiB, 24576 MiB,10.09 W,14.9,63.74,
0 , 3 MiB, 24576 MiB,10.18 W,16.1,64.79,
0 , 3 MiB, 24576 MiB,10.41 W,11.8,65.83,
0 , 3 MiB, 24576 MiB,10.53 W,15.0,66.88,
0 , 3 MiB, 24576 MiB,10.19 W,14.2,67.92,
0 , 3 MiB, 24576 MiB,9.53 W,14.6,68.97,
0 , 3 MiB, 24576 MiB,10.09 W,11.2,70.01,
0 , 3 MiB, 24576 MiB,10.50 W,12.8,71.05,
0 , 3 MiB, 24576 MiB,10.35 W,14.8,72.09,
0 , 3 MiB, 24576 MiB,10.47 W,14.6,73.14,
0 , 3 MiB, 24576 MiB,10.25 W,14.5,74.18,
0 , 3 MiB, 24576 MiB,10.36 W,13.8,75.23,
0 , 3 MiB, 24576 MiB,10.14 W,14.4,76.27,
0 , 3 MiB, 24576 MiB,10.43 W,15.1,77.31,
0 , 3 MiB, 24576 MiB,10.73 W,13.0,78.36,
0 , 3 MiB, 24576 MiB,10.71 W,12.1,79.4,
0 , 3 MiB, 24576 MiB,10.62 W,15.3,80.44,
0 , 3 MiB, 24576 MiB,10.67 W,15.0,81.49,
0 , 3 MiB, 24576 MiB,10.42 W,15.1,82.53,
0 , 3 MiB, 24576 MiB,10.71 W,14.4,83.58,
0 , 3 MiB, 24576 MiB,10.36 W,13.9,84.63,
0 , 3 MiB, 24576 MiB,11.00 W,14.1,85.67,
0 , 3 MiB, 24576 MiB,10.69 W,13.5,86.71,
0 , 3 MiB, 24576 MiB,10.22 W,14.8,87.75,
0 , 3 MiB, 24576 MiB,10.27 W,15.6,88.8,
0 , 3 MiB, 24576 MiB,10.50 W,15.5,89.84,
0 , 3 MiB, 24576 MiB,9.92 W,14.7,90.88,
0 , 3 MiB, 24576 MiB,9.73 W,13.9,91.93,
0 , 3 MiB, 24576 MiB,9.99 W,13.8,92.97,
0 , 3 MiB, 24576 MiB,10.54 W,14.4,94.01,
0 , 3 MiB, 24576 MiB,10.41 W,17.1,95.06,
0 , 3 MiB, 24576 MiB,10.53 W,14.7,96.1,
0 , 3 MiB, 24576 MiB,11.02 W,14.8,97.14,
0 , 3 MiB, 24576 MiB,9.85 W,14.2,98.19,
0 , 3 MiB, 24576 MiB,9.69 W,15.1,99.23,
0 , 3 MiB, 24576 MiB,10.28 W,11.6,100.27,
0 , 3 MiB, 24576 MiB,10.17 W,14.2,101.32,
0 , 3 MiB, 24576 MiB,9.88 W,16.1,102.36,
0 , 3 MiB, 24576 MiB,10.43 W,15.7,103.4,
0 , 3 MiB, 24576 MiB,10.51 W,13.8,104.45,
0 , 3 MiB, 24576 MiB,10.15 W,14.8,105.49,
0 , 3 MiB, 24576 MiB,10.05 W,13.9,106.53,
0 , 3 MiB, 24576 MiB,10.19 W,13.8,107.57,
0 , 3 MiB, 24576 MiB,10.09 W,11.5,108.61,
0 , 3 MiB, 24576 MiB,9.93 W,14.7,109.66,
0 , 3 MiB, 24576 MiB,10.67 W,15.0,110.7,
0 , 3 MiB, 24576 MiB,10.92 W,13.9,111.74,
