utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,11.02 W,11.6,1.07,0.0246,3862582360.0, 
0 , 3 MiB, 24576 MiB,13.13 W,11.8,2.11,
0 , 3 MiB, 24576 MiB,13.05 W,10.6,3.15,
0 , 3 MiB, 24576 MiB,12.40 W,10.7,4.18,
0 , 3 MiB, 24576 MiB,12.80 W,10.5,5.22,
0 , 3 MiB, 24576 MiB,12.36 W,10.6,6.25,
0 , 3 MiB, 24576 MiB,13.02 W,11.0,7.29,
0 , 3 MiB, 24576 MiB,12.66 W,10.4,8.32,
0 , 3 MiB, 24576 MiB,12.35 W,10.5,9.36,
0 , 3 MiB, 24576 MiB,12.42 W,10.4,10.39,
0 , 3 MiB, 24576 MiB,12.55 W,10.5,11.43,
0 , 3 MiB, 24576 MiB,12.39 W,10.6,12.47,
0 , 3 MiB, 24576 MiB,12.35 W,11.6,13.5,
0 , 3 MiB, 24576 MiB,12.29 W,11.9,14.54,
0 , 3 MiB, 24576 MiB,12.34 W,16.9,15.58,
0 , 3 MiB, 24576 MiB,11.68 W,17.4,16.61,
0 , 3 MiB, 24576 MiB,11.76 W,16.8,17.64,
0 , 3 MiB, 24576 MiB,11.52 W,17.1,18.68,
0 , 3 MiB, 24576 MiB,11.50 W,15.9,19.72,
0 , 3 MiB, 24576 MiB,11.64 W,15.2,20.75,
0 , 3 MiB, 24576 MiB,11.76 W,13.7,21.79,
0 , 3 MiB, 24576 MiB,11.54 W,12.8,22.82,
0 , 3 MiB, 24576 MiB,11.53 W,13.8,23.86,
0 , 3 MiB, 24576 MiB,11.50 W,13.8,24.89,
0 , 3 MiB, 24576 MiB,11.52 W,13.6,25.93,
0 , 3 MiB, 24576 MiB,11.64 W,15.6,26.96,
0 , 3 MiB, 24576 MiB,11.51 W,11.9,28.0,
0 , 3 MiB, 24576 MiB,11.40 W,15.5,29.03,
0 , 3 MiB, 24576 MiB,11.15 W,14.3,30.07,
0 , 3 MiB, 24576 MiB,11.16 W,15.2,31.1,
0 , 3 MiB, 24576 MiB,11.14 W,14.9,32.14,
0 , 3 MiB, 24576 MiB,11.44 W,14.2,33.17,
0 , 3 MiB, 24576 MiB,11.32 W,14.1,34.21,
0 , 3 MiB, 24576 MiB,11.08 W,13.6,35.24,
0 , 3 MiB, 24576 MiB,11.42 W,14.8,36.28,
0 , 3 MiB, 24576 MiB,11.83 W,13.9,37.31,
0 , 3 MiB, 24576 MiB,11.03 W,15.5,38.35,
0 , 3 MiB, 24576 MiB,10.52 W,11.9,39.39,
0 , 3 MiB, 24576 MiB,10.63 W,15.4,40.42,
0 , 3 MiB, 24576 MiB,11.26 W,12.8,41.46,
0 , 3 MiB, 24576 MiB,11.27 W,12.6,42.49,
0 , 3 MiB, 24576 MiB,11.26 W,15.1,43.53,
0 , 3 MiB, 24576 MiB,11.49 W,12.2,44.56,
0 , 3 MiB, 24576 MiB,10.94 W,14.1,45.6,
0 , 3 MiB, 24576 MiB,11.09 W,14.3,46.64,
0 , 3 MiB, 24576 MiB,11.49 W,14.1,47.67,
0 , 3 MiB, 24576 MiB,10.84 W,14.1,48.81,
0 , 3 MiB, 24576 MiB,10.45 W,12.2,49.85,
0 , 3 MiB, 24576 MiB,10.66 W,14.7,50.88,
0 , 3 MiB, 24576 MiB,10.04 W,12.7,51.92,
0 , 3 MiB, 24576 MiB,10.10 W,14.3,52.96,
0 , 3 MiB, 24576 MiB,10.79 W,13.7,53.99,
0 , 3 MiB, 24576 MiB,10.73 W,13.9,55.03,
0 , 3 MiB, 24576 MiB,10.74 W,14.4,56.06,
0 , 3 MiB, 24576 MiB,10.60 W,12.8,57.1,
0 , 3 MiB, 24576 MiB,10.59 W,16.0,58.13,
0 , 3 MiB, 24576 MiB,10.44 W,14.5,59.17,
0 , 3 MiB, 24576 MiB,10.34 W,14.9,60.2,
0 , 3 MiB, 24576 MiB,10.66 W,15.3,61.24,
0 , 3 MiB, 24576 MiB,10.09 W,12.7,62.27,
0 , 3 MiB, 24576 MiB,10.14 W,15.2,63.31,
0 , 3 MiB, 24576 MiB,10.33 W,14.0,64.34,
0 , 3 MiB, 24576 MiB,10.53 W,15.4,65.38,
0 , 3 MiB, 24576 MiB,10.41 W,12.1,66.41,
0 , 3 MiB, 24576 MiB,10.74 W,14.7,67.45,
0 , 3 MiB, 24576 MiB,10.25 W,14.0,68.49,
0 , 3 MiB, 24576 MiB,9.72 W,14.8,69.52,
0 , 3 MiB, 24576 MiB,9.86 W,12.4,70.56,
0 , 3 MiB, 24576 MiB,10.16 W,15.3,71.59,
0 , 3 MiB, 24576 MiB,10.20 W,12.8,72.63,
0 , 3 MiB, 24576 MiB,10.15 W,15.3,73.66,
0 , 3 MiB, 24576 MiB,9.73 W,14.4,74.7,
0 , 3 MiB, 24576 MiB,9.77 W,13.9,75.74,
