utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,11.99 W,17.9,1.07,0.21,2052567059,
0 %, 3 MiB, 24576 MiB,11.67 W,18.3,2.11,
0 %, 3 MiB, 24576 MiB,11.77 W,17.9,3.14,
0 %, 3 MiB, 24576 MiB,11.96 W,18.6,4.18,
0 %, 3 MiB, 24576 MiB,11.94 W,18.7,5.22,
0 %, 3 MiB, 24576 MiB,11.67 W,18.6,6.25,
0 %, 3 MiB, 24576 MiB,11.54 W,18.3,7.29,
0 %, 3 MiB, 24576 MiB,11.84 W,18.4,8.33,
0 %, 3 MiB, 24576 MiB,11.40 W,19.3,9.37,
0 %, 3 MiB, 24576 MiB,11.47 W,18.1,10.41,
0 %, 3 MiB, 24576 MiB,11.21 W,18.5,11.45,
0 %, 3 MiB, 24576 MiB,11.70 W,18.2,12.49,
0 %, 3 MiB, 24576 MiB,11.65 W,18.5,13.52,
0 %, 3 MiB, 24576 MiB,11.59 W,18.4,14.56,
0 %, 3 MiB, 24576 MiB,11.33 W,18.2,15.6,
0 %, 3 MiB, 24576 MiB,11.12 W,18.3,16.64,
0 %, 3 MiB, 24576 MiB,11.77 W,17.7,17.67,
0 %, 3 MiB, 24576 MiB,11.81 W,16.1,18.71,
0 %, 3 MiB, 24576 MiB,11.62 W,16.4,19.75,
0 %, 3 MiB, 24576 MiB,10.72 W,15.7,20.79,
0 %, 3 MiB, 24576 MiB,10.71 W,16.0,21.83,
0 %, 3 MiB, 24576 MiB,10.72 W,16.1,22.87,
0 %, 3 MiB, 24576 MiB,11.31 W,16.9,23.91,
0 %, 3 MiB, 24576 MiB,11.14 W,16.7,24.95,
0 %, 3 MiB, 24576 MiB,10.80 W,16.3,25.98,
0 %, 3 MiB, 24576 MiB,10.84 W,16.0,27.02,
0 %, 3 MiB, 24576 MiB,10.87 W,16.3,28.06,
0 %, 3 MiB, 24576 MiB,10.57 W,16.1,29.1,
0 %, 3 MiB, 24576 MiB,10.92 W,16.2,30.13,
0 %, 3 MiB, 24576 MiB,11.09 W,16.1,31.17,
0 %, 3 MiB, 24576 MiB,10.55 W,16.2,32.21,
0 %, 3 MiB, 24576 MiB,10.80 W,15.9,33.25,
0 %, 3 MiB, 24576 MiB,11.00 W,16.8,34.3,
0 %, 3 MiB, 24576 MiB,10.55 W,16.0,35.34,
0 %, 3 MiB, 24576 MiB,10.58 W,15.8,36.37,
0 %, 3 MiB, 24576 MiB,10.66 W,16.0,37.41,
0 %, 3 MiB, 24576 MiB,10.24 W,16.2,38.44,
0 %, 3 MiB, 24576 MiB,10.34 W,17.1,39.48,
0 %, 3 MiB, 24576 MiB,10.07 W,16.7,40.52,
0 %, 3 MiB, 24576 MiB,10.42 W,16.0,41.56,
0 %, 3 MiB, 24576 MiB,10.52 W,15.8,42.59,
