utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,9.94 W,12.5,1.06,0.21,2052567059,
0 %, 3 MiB, 24576 MiB,9.98 W,12.0,2.09,
0 %, 3 MiB, 24576 MiB,9.62 W,12.0,3.13,
0 %, 3 MiB, 24576 MiB,9.50 W,11.8,4.16,
0 %, 3 MiB, 24576 MiB,9.45 W,11.8,5.2,
0 %, 3 MiB, 24576 MiB,9.79 W,12.2,6.23,
0 %, 3 MiB, 24576 MiB,9.72 W,11.8,7.27,
0 %, 3 MiB, 24576 MiB,10.07 W,11.8,8.31,
0 %, 3 MiB, 24576 MiB,10.09 W,11.8,9.34,
0 %, 3 MiB, 24576 MiB,10.15 W,11.7,10.37,
0 %, 3 MiB, 24576 MiB,9.54 W,12.7,11.41,
0 %, 3 MiB, 24576 MiB,10.02 W,12.0,12.45,
0 %, 3 MiB, 24576 MiB,10.16 W,11.8,13.48,
0 %, 3 MiB, 24576 MiB,10.14 W,11.8,14.52,
0 %, 3 MiB, 24576 MiB,10.02 W,13.1,15.56,
0 %, 3 MiB, 24576 MiB,10.48 W,14.4,16.59,
0 %, 3 MiB, 24576 MiB,10.08 W,14.0,17.63,
0 %, 3 MiB, 24576 MiB,10.87 W,14.1,18.66,
0 %, 3 MiB, 24576 MiB,10.88 W,12.1,19.7,
0 %, 3 MiB, 24576 MiB,10.77 W,11.8,20.73,
0 %, 3 MiB, 24576 MiB,10.28 W,11.8,21.77,
0 %, 3 MiB, 24576 MiB,9.99 W,11.8,22.81,
0 %, 3 MiB, 24576 MiB,10.42 W,11.8,23.84,
0 %, 3 MiB, 24576 MiB,10.10 W,11.7,24.88,
0 %, 3 MiB, 24576 MiB,10.18 W,12.9,25.91,
0 %, 3 MiB, 24576 MiB,9.99 W,12.0,26.95,
0 %, 3 MiB, 24576 MiB,9.95 W,11.9,27.99,
0 %, 3 MiB, 24576 MiB,9.98 W,12.0,29.01,
0 %, 3 MiB, 24576 MiB,10.34 W,11.9,30.05,
0 %, 3 MiB, 24576 MiB,10.06 W,11.7,31.09,
0 %, 3 MiB, 24576 MiB,10.03 W,12.1,32.13,
0 %, 3 MiB, 24576 MiB,9.89 W,11.6,33.16,
0 %, 3 MiB, 24576 MiB,9.77 W,11.9,34.2,
0 %, 3 MiB, 24576 MiB,9.92 W,11.7,35.23,
0 %, 3 MiB, 24576 MiB,9.93 W,12.0,36.26,
0 %, 3 MiB, 24576 MiB,9.97 W,11.8,37.3,
0 %, 3 MiB, 24576 MiB,9.88 W,11.9,38.34,
0 %, 3 MiB, 24576 MiB,10.80 W,11.8,39.37,
0 %, 3 MiB, 24576 MiB,9.87 W,12.1,40.41,
0 %, 3 MiB, 24576 MiB,10.08 W,12.4,41.44,
0 %, 3 MiB, 24576 MiB,10.66 W,11.6,42.48,
0 %, 3 MiB, 24576 MiB,10.98 W,11.9,43.51,
0 %, 3 MiB, 24576 MiB,10.29 W,11.7,44.54,
0 %, 3 MiB, 24576 MiB,10.70 W,11.7,45.58,
0 %, 3 MiB, 24576 MiB,9.61 W,12.3,46.62,
0 %, 3 MiB, 24576 MiB,9.62 W,11.7,47.65,
0 %, 3 MiB, 24576 MiB,9.52 W,11.9,48.69,
0 %, 3 MiB, 24576 MiB,9.87 W,11.9,49.73,
0 %, 3 MiB, 24576 MiB,10.07 W,11.9,50.76,
0 %, 3 MiB, 24576 MiB,10.01 W,12.1,51.79,
0 %, 3 MiB, 24576 MiB,10.11 W,11.8,52.83,
0 %, 3 MiB, 24576 MiB,10.31 W,11.8,53.86,
0 %, 3 MiB, 24576 MiB,9.74 W,11.8,54.89,
0 %, 3 MiB, 24576 MiB,9.78 W,12.0,55.93,
0 %, 3 MiB, 24576 MiB,9.88 W,12.2,56.97,
0 %, 3 MiB, 24576 MiB,10.41 W,11.9,58.01,
0 %, 3 MiB, 24576 MiB,10.27 W,11.5,59.04,
0 %, 3 MiB, 24576 MiB,10.06 W,11.7,60.08,
0 %, 3 MiB, 24576 MiB,9.62 W,11.8,61.1,
0 %, 3 MiB, 24576 MiB,10.01 W,12.2,62.14,
0 %, 3 MiB, 24576 MiB,9.53 W,11.9,63.18,
0 %, 3 MiB, 24576 MiB,9.53 W,11.9,64.22,
0 %, 3 MiB, 24576 MiB,9.91 W,11.6,65.25,
0 %, 3 MiB, 24576 MiB,9.91 W,11.8,66.29,
0 %, 3 MiB, 24576 MiB,9.54 W,12.0,67.32,
