utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,
0 %, 3 MiB, 24576 MiB,9.78 W,10.7,1.06,
0 %, 3 MiB, 24576 MiB,10.21 W,11.4,2.1,
0 %, 3 MiB, 24576 MiB,10.20 W,11.0,3.13,
0 %, 3 MiB, 24576 MiB,10.91 W,10.8,4.17,
0 %, 3 MiB, 24576 MiB,10.55 W,11.1,5.2,
0 %, 3 MiB, 24576 MiB,10.14 W,11.0,6.23,
0 %, 3 MiB, 24576 MiB,10.10 W,11.2,7.27,
0 %, 3 MiB, 24576 MiB,9.89 W,10.7,8.3,
0 %, 3 MiB, 24576 MiB,9.90 W,10.9,9.33,
0 %, 3 MiB, 24576 MiB,10.06 W,11.0,10.37,
0 %, 3 MiB, 24576 MiB,10.10 W,11.4,11.4,
0 %, 3 MiB, 24576 MiB,10.18 W,10.9,12.43,
0 %, 3 MiB, 24576 MiB,10.05 W,11.0,13.47,
0 %, 3 MiB, 24576 MiB,10.15 W,10.8,14.5,
0 %, 3 MiB, 24576 MiB,10.38 W,10.9,15.53,
0 %, 3 MiB, 24576 MiB,10.14 W,11.6,16.57,
0 %, 3 MiB, 24576 MiB,9.79 W,11.0,17.6,
0 %, 3 MiB, 24576 MiB,9.47 W,12.5,18.64,
0 %, 3 MiB, 24576 MiB,10.20 W,11.3,19.67,
0 %, 3 MiB, 24576 MiB,10.25 W,11.0,20.71,
0 %, 3 MiB, 24576 MiB,10.18 W,11.8,21.74,
0 %, 3 MiB, 24576 MiB,10.12 W,11.2,22.77,
0 %, 3 MiB, 24576 MiB,9.96 W,11.1,23.81,
0 %, 3 MiB, 24576 MiB,9.77 W,10.9,24.84,
0 %, 3 MiB, 24576 MiB,9.66 W,11.1,25.87,
0 %, 3 MiB, 24576 MiB,9.87 W,11.2,26.9,
0 %, 3 MiB, 24576 MiB,10.03 W,11.1,27.94,
0 %, 3 MiB, 24576 MiB,10.04 W,11.1,28.97,
0 %, 3 MiB, 24576 MiB,9.89 W,10.8,30.01,
0 %, 3 MiB, 24576 MiB,9.33 W,10.8,31.04,
0 %, 3 MiB, 24576 MiB,9.78 W,11.9,32.07,
0 %, 3 MiB, 24576 MiB,9.64 W,10.9,33.11,
0 %, 3 MiB, 24576 MiB,9.71 W,10.9,34.14,
0 %, 3 MiB, 24576 MiB,10.19 W,10.7,35.17,
0 %, 3 MiB, 24576 MiB,9.53 W,11.1,36.21,
