utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 23339 MiB, 24576 MiB,57.56 W,11.1,1.12,0.2610,2966364760.0,
3 , 23591 MiB, 24576 MiB,57.53 W,11.5,2.22,
6 , 23805 MiB, 24576 MiB,61.90 W,11.0,3.33,
12 , 23805 MiB, 24576 MiB,60.23 W,11.0,4.47,
12 , 23805 MiB, 24576 MiB,59.77 W,10.9,5.58,
12 , 23805 MiB, 24576 MiB,60.32 W,11.0,6.71,
12 , 23805 MiB, 24576 MiB,61.56 W,11.0,7.83,
13 , 23805 MiB, 24576 MiB,62.33 W,11.2,8.94,
13 , 23805 MiB, 24576 MiB,63.56 W,11.1,10.06,
12 , 23805 MiB, 24576 MiB,63.69 W,11.1,11.17,
12 , 23805 MiB, 24576 MiB,60.40 W,11.2,12.3,
13 , 23805 MiB, 24576 MiB,61.05 W,11.2,13.42,
12 , 23805 MiB, 24576 MiB,60.69 W,11.7,14.54,
12 , 23805 MiB, 24576 MiB,61.92 W,11.7,15.67,
12 , 23805 MiB, 24576 MiB,63.62 W,11.3,16.78,
12 , 23805 MiB, 24576 MiB,63.78 W,11.2,17.9,
12 , 23805 MiB, 24576 MiB,60.85 W,11.0,19.01,
12 , 23805 MiB, 24576 MiB,61.10 W,11.1,20.13,
12 , 23805 MiB, 24576 MiB,61.56 W,11.0,21.24,
13 , 23805 MiB, 24576 MiB,60.92 W,11.1,22.36,
13 , 23805 MiB, 24576 MiB,62.12 W,10.9,23.47,
13 , 23805 MiB, 24576 MiB,61.37 W,11.0,24.59,
12 , 23805 MiB, 24576 MiB,63.07 W,10.9,25.71,
13 , 23805 MiB, 24576 MiB,63.31 W,10.9,26.82,
12 , 23805 MiB, 24576 MiB,63.85 W,11.0,27.94,
13 , 23805 MiB, 24576 MiB,61.89 W,11.1,29.05,
13 , 23805 MiB, 24576 MiB,60.79 W,12.0,30.3,
13 , 23805 MiB, 24576 MiB,62.15 W,11.2,31.41,
13 , 23805 MiB, 24576 MiB,62.63 W,11.4,32.56,
12 , 23805 MiB, 24576 MiB,61.38 W,11.0,33.67,
12 , 23805 MiB, 24576 MiB,61.57 W,11.0,34.79,
12 , 23805 MiB, 24576 MiB,61.09 W,10.9,35.9,
12 , 23805 MiB, 24576 MiB,61.90 W,11.3,37.02,
12 , 23805 MiB, 24576 MiB,62.53 W,11.3,38.13,
12 , 23805 MiB, 24576 MiB,63.04 W,11.2,39.25,
12 , 23805 MiB, 24576 MiB,63.80 W,10.9,40.37,
13 , 23805 MiB, 24576 MiB,62.62 W,11.3,41.49,
12 , 23805 MiB, 24576 MiB,60.81 W,11.4,42.64,
12 , 23805 MiB, 24576 MiB,62.19 W,11.1,43.75,
12 , 23805 MiB, 24576 MiB,62.75 W,11.4,44.87,
12 , 23805 MiB, 24576 MiB,63.18 W,11.3,45.99,
12 , 23805 MiB, 24576 MiB,62.89 W,12.2,47.11,
12 , 23805 MiB, 24576 MiB,62.19 W,11.7,48.23,
12 , 23805 MiB, 24576 MiB,61.42 W,11.1,49.36,
13 , 23805 MiB, 24576 MiB,62.32 W,11.6,50.48,
13 , 23805 MiB, 24576 MiB,62.70 W,10.8,51.6,
12 , 23805 MiB, 24576 MiB,64.04 W,10.9,52.72,
13 , 23805 MiB, 24576 MiB,65.22 W,11.0,53.83,
13 , 23805 MiB, 24576 MiB,61.82 W,11.2,54.95,
12 , 23805 MiB, 24576 MiB,62.01 W,11.1,56.06,
13 , 23805 MiB, 24576 MiB,62.04 W,11.2,57.19,
12 , 23805 MiB, 24576 MiB,63.01 W,11.3,58.3,
12 , 23805 MiB, 24576 MiB,62.81 W,11.7,59.42,
13 , 23805 MiB, 24576 MiB,63.55 W,12.0,60.57,
12 , 23805 MiB, 24576 MiB,61.79 W,11.6,61.69,
12 , 23805 MiB, 24576 MiB,63.04 W,11.6,62.84,
12 , 23805 MiB, 24576 MiB,64.93 W,11.2,63.96,
13 , 23805 MiB, 24576 MiB,65.62 W,11.3,65.08,
13 , 23805 MiB, 24576 MiB,62.14 W,11.5,66.19,
13 , 23805 MiB, 24576 MiB,62.39 W,11.2,67.31,
13 , 23805 MiB, 24576 MiB,63.15 W,11.0,68.42,
13 , 23805 MiB, 24576 MiB,62.25 W,11.2,69.54,
13 , 23805 MiB, 24576 MiB,62.77 W,11.2,70.65,
