utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 , 3 MiB, 24576 MiB,10.33 W,10.4,1.06,0.0040,2966364760.0,
0 , 3 MiB, 24576 MiB,10.58 W,10.8,2.09,
0 , 3 MiB, 24576 MiB,10.47 W,10.7,3.13,
0 , 3 MiB, 24576 MiB,10.62 W,10.7,4.16,
0 , 3 MiB, 24576 MiB,10.47 W,10.8,5.2,
0 , 3 MiB, 24576 MiB,10.35 W,10.8,6.23,
0 , 3 MiB, 24576 MiB,10.47 W,10.4,7.27,
0 , 3 MiB, 24576 MiB,10.53 W,10.3,8.3,
0 , 3 MiB, 24576 MiB,11.06 W,10.7,9.33,
0 , 3 MiB, 24576 MiB,11.15 W,10.6,10.37,
0 , 3 MiB, 24576 MiB,11.17 W,10.6,11.4,
0 , 3 MiB, 24576 MiB,10.15 W,11.2,12.44,
0 , 3 MiB, 24576 MiB,10.28 W,10.2,13.47,
0 , 3 MiB, 24576 MiB,10.12 W,10.5,14.51,
0 , 3 MiB, 24576 MiB,10.08 W,10.4,15.54,
0 , 3 MiB, 24576 MiB,10.73 W,10.6,16.58,
0 , 3 MiB, 24576 MiB,10.70 W,10.5,17.61,
0 , 3 MiB, 24576 MiB,10.78 W,10.5,18.65,
0 , 3 MiB, 24576 MiB,10.43 W,11.0,19.68,
0 , 3 MiB, 24576 MiB,10.76 W,10.7,20.71,
0 , 3 MiB, 24576 MiB,10.42 W,10.5,21.75,
0 , 3 MiB, 24576 MiB,10.55 W,10.7,22.78,
0 , 3 MiB, 24576 MiB,10.52 W,10.4,23.82,
0 , 3 MiB, 24576 MiB,10.71 W,10.6,24.85,
0 , 3 MiB, 24576 MiB,10.64 W,10.5,25.89,
0 , 3 MiB, 24576 MiB,10.31 W,11.4,26.92,
0 , 3 MiB, 24576 MiB,10.36 W,10.5,27.96,
0 , 3 MiB, 24576 MiB,10.21 W,11.1,29.0,
0 , 3 MiB, 24576 MiB,10.75 W,10.7,30.04,
0 , 3 MiB, 24576 MiB,10.55 W,10.5,31.07,
0 , 3 MiB, 24576 MiB,10.86 W,10.5,32.11,
0 , 3 MiB, 24576 MiB,10.77 W,10.5,33.14,
0 , 3 MiB, 24576 MiB,10.38 W,10.4,34.18,
0 , 3 MiB, 24576 MiB,10.48 W,10.8,35.22,
0 , 3 MiB, 24576 MiB,10.69 W,11.0,36.25,
0 , 3 MiB, 24576 MiB,10.82 W,10.6,37.29,
0 , 3 MiB, 24576 MiB,10.38 W,10.4,38.32,
0 , 3 MiB, 24576 MiB,10.64 W,10.4,39.36,
0 , 3 MiB, 24576 MiB,10.51 W,10.4,40.39,
0 , 3 MiB, 24576 MiB,10.76 W,10.5,41.42,
0 , 3 MiB, 24576 MiB,10.70 W,11.7,42.46,
0 , 3 MiB, 24576 MiB,10.96 W,10.5,43.49,
0 , 3 MiB, 24576 MiB,10.22 W,10.6,44.52,
0 , 3 MiB, 24576 MiB,10.40 W,10.3,45.55,
0 , 3 MiB, 24576 MiB,10.35 W,10.9,46.59,
0 , 3 MiB, 24576 MiB,10.64 W,10.4,47.62,
0 , 3 MiB, 24576 MiB,10.75 W,10.4,48.65,
