utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
4 %, 23471 MiB, 24576 MiB,57.09 W,12.1,1.14,0.34,20178289240.0,
21 %, 23633 MiB, 24576 MiB,79.44 W,11.5,2.23,
16 %, 23633 MiB, 24576 MiB,80.10 W,12.6,3.36,
16 %, 23633 MiB, 24576 MiB,64.58 W,9.7,4.45,
19 %, 23633 MiB, 24576 MiB,64.53 W,11.9,5.54,
19 %, 23633 MiB, 24576 MiB,70.00 W,12.7,6.64,
19 %, 23633 MiB, 24576 MiB,68.66 W,12.8,7.73,
19 %, 23633 MiB, 24576 MiB,67.39 W,11.2,8.82,
19 %, 23633 MiB, 24576 MiB,66.14 W,11.5,9.91,
19 %, 23633 MiB, 24576 MiB,64.24 W,11.3,11.02,
19 %, 23633 MiB, 24576 MiB,65.44 W,9.6,12.11,
19 %, 23633 MiB, 24576 MiB,65.18 W,10.8,13.22,
20 %, 23633 MiB, 24576 MiB,65.17 W,9.2,14.32,
19 %, 23633 MiB, 24576 MiB,66.09 W,10.3,15.41,
20 %, 23633 MiB, 24576 MiB,70.24 W,10.4,16.5,
19 %, 23633 MiB, 24576 MiB,68.99 W,9.3,17.6,
19 %, 23633 MiB, 24576 MiB,67.03 W,10.0,18.69,
19 %, 23633 MiB, 24576 MiB,66.32 W,8.3,19.78,
19 %, 23633 MiB, 24576 MiB,65.99 W,8.2,20.87,
19 %, 23633 MiB, 24576 MiB,64.43 W,10.3,21.97,
19 %, 23633 MiB, 24576 MiB,70.57 W,11.5,23.06,
19 %, 23633 MiB, 24576 MiB,70.75 W,10.9,24.15,
19 %, 23633 MiB, 24576 MiB,67.97 W,10.5,25.25,
20 %, 23633 MiB, 24576 MiB,66.19 W,9.8,26.34,
20 %, 23633 MiB, 24576 MiB,66.11 W,7.7,27.43,
20 %, 23633 MiB, 24576 MiB,64.73 W,8.8,28.53,
19 %, 23633 MiB, 24576 MiB,64.20 W,9.9,29.64,
19 %, 23633 MiB, 24576 MiB,71.70 W,10.9,30.73,
20 %, 23633 MiB, 24576 MiB,71.07 W,9.6,31.82,
19 %, 23633 MiB, 24576 MiB,68.42 W,9.1,32.91,
19 %, 23633 MiB, 24576 MiB,67.95 W,9.4,34.0,
19 %, 23633 MiB, 24576 MiB,66.40 W,9.1,35.1,
20 %, 23633 MiB, 24576 MiB,65.71 W,7.2,36.21,
19 %, 23633 MiB, 24576 MiB,65.76 W,10.6,37.3,
20 %, 23633 MiB, 24576 MiB,65.97 W,10.3,38.39,
20 %, 23633 MiB, 24576 MiB,71.51 W,10.4,39.48,
19 %, 23633 MiB, 24576 MiB,70.19 W,9.5,40.57,
19 %, 23633 MiB, 24576 MiB,67.74 W,9.6,41.66,
20 %, 23633 MiB, 24576 MiB,66.41 W,8.0,42.75,
19 %, 23633 MiB, 24576 MiB,65.99 W,10.5,43.84,
20 %, 23633 MiB, 24576 MiB,65.89 W,7.0,44.94,
19 %, 23633 MiB, 24576 MiB,71.88 W,7.4,46.03,
19 %, 23633 MiB, 24576 MiB,70.63 W,10.7,47.13,
19 %, 23633 MiB, 24576 MiB,70.24 W,10.4,48.22,
19 %, 23633 MiB, 24576 MiB,68.36 W,10.6,49.32,
19 %, 23633 MiB, 24576 MiB,65.31 W,10.3,50.42,
20 %, 23633 MiB, 24576 MiB,65.71 W,9.1,51.51,
20 %, 23633 MiB, 24576 MiB,65.69 W,10.2,52.62,
19 %, 23633 MiB, 24576 MiB,66.52 W,7.2,53.72,
19 %, 23633 MiB, 24576 MiB,66.64 W,9.1,54.81,
20 %, 23633 MiB, 24576 MiB,71.56 W,9.9,55.9,
20 %, 23633 MiB, 24576 MiB,70.37 W,10.8,57.0,
20 %, 23633 MiB, 24576 MiB,68.43 W,9.1,58.09,
20 %, 23633 MiB, 24576 MiB,67.22 W,10.5,59.18,
19 %, 23633 MiB, 24576 MiB,66.90 W,9.4,60.28,
19 %, 23633 MiB, 24576 MiB,64.43 W,12.7,61.38,
18 %, 23633 MiB, 24576 MiB,66.74 W,8.8,62.49,
19 %, 23633 MiB, 24576 MiB,65.15 W,9.9,63.58,
20 %, 23633 MiB, 24576 MiB,70.93 W,11.7,64.68,
19 %, 23633 MiB, 24576 MiB,71.00 W,12.5,65.77,
