utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,14.41 W,15.2,1.08,0.34,20178289240.0,
0 %, 3 MiB, 24576 MiB,15.23 W,14.5,2.13,
0 %, 3 MiB, 24576 MiB,15.40 W,16.3,3.17,
0 %, 3 MiB, 24576 MiB,15.23 W,14.3,4.22,
0 %, 3 MiB, 24576 MiB,14.84 W,15.6,5.27,
0 %, 3 MiB, 24576 MiB,15.04 W,15.2,6.32,
0 %, 3 MiB, 24576 MiB,15.33 W,14.3,7.37,
0 %, 3 MiB, 24576 MiB,14.42 W,14.1,8.42,
0 %, 3 MiB, 24576 MiB,15.12 W,12.1,9.46,
0 %, 3 MiB, 24576 MiB,14.47 W,15.0,10.52,
0 %, 3 MiB, 24576 MiB,15.43 W,15.8,11.57,
0 %, 3 MiB, 24576 MiB,15.14 W,14.6,12.61,
0 %, 3 MiB, 24576 MiB,15.74 W,15.5,13.66,
0 %, 3 MiB, 24576 MiB,15.88 W,13.6,14.7,
0 %, 3 MiB, 24576 MiB,15.26 W,14.6,15.75,
0 %, 3 MiB, 24576 MiB,15.26 W,11.7,16.81,
0 %, 3 MiB, 24576 MiB,14.93 W,15.4,17.86,
0 %, 3 MiB, 24576 MiB,14.95 W,14.9,18.91,
0 %, 3 MiB, 24576 MiB,14.97 W,16.0,19.96,
0 %, 3 MiB, 24576 MiB,15.15 W,15.2,21.0,
0 %, 3 MiB, 24576 MiB,15.06 W,14.2,22.05,
0 %, 3 MiB, 24576 MiB,15.21 W,13.8,23.1,
0 %, 3 MiB, 24576 MiB,15.01 W,14.2,24.14,
0 %, 3 MiB, 24576 MiB,14.12 W,14.2,25.19,
0 %, 3 MiB, 24576 MiB,15.44 W,15.7,26.24,
0 %, 3 MiB, 24576 MiB,15.02 W,14.8,27.3,
0 %, 3 MiB, 24576 MiB,14.91 W,13.7,28.34,
0 %, 3 MiB, 24576 MiB,15.20 W,14.4,29.39,
0 %, 3 MiB, 24576 MiB,15.08 W,15.2,30.45,
0 %, 3 MiB, 24576 MiB,19.97 W,11.9,31.5,
0 %, 3 MiB, 24576 MiB,14.59 W,14.0,32.55,
0 %, 3 MiB, 24576 MiB,15.01 W,14.4,33.6,
0 %, 3 MiB, 24576 MiB,15.18 W,16.6,34.65,
0 %, 3 MiB, 24576 MiB,14.98 W,14.1,35.69,
0 %, 3 MiB, 24576 MiB,15.06 W,13.4,36.74,
0 %, 3 MiB, 24576 MiB,15.09 W,15.9,37.79,
0 %, 3 MiB, 24576 MiB,15.35 W,12.9,38.83,
0 %, 3 MiB, 24576 MiB,14.47 W,13.4,39.88,
0 %, 3 MiB, 24576 MiB,14.77 W,14.5,40.93,
0 %, 3 MiB, 24576 MiB,14.92 W,16.5,41.98,
0 %, 3 MiB, 24576 MiB,14.98 W,17.5,43.03,
0 %, 3 MiB, 24576 MiB,14.76 W,16.2,44.07,
0 %, 3 MiB, 24576 MiB,14.91 W,15.9,45.12,
0 %, 3 MiB, 24576 MiB,14.85 W,16.7,46.16,
0 %, 3 MiB, 24576 MiB,15.20 W,13.7,47.22,
0 %, 3 MiB, 24576 MiB,15.09 W,16.2,48.27,
0 %, 3 MiB, 24576 MiB,14.69 W,15.3,49.32,
0 %, 3 MiB, 24576 MiB,14.11 W,16.6,50.36,
0 %, 3 MiB, 24576 MiB,14.81 W,16.0,51.41,
0 %, 3 MiB, 24576 MiB,15.00 W,14.1,52.46,
0 %, 3 MiB, 24576 MiB,15.08 W,14.5,53.52,
0 %, 3 MiB, 24576 MiB,15.81 W,12.5,54.57,
0 %, 3 MiB, 24576 MiB,15.51 W,13.0,55.61,
0 %, 3 MiB, 24576 MiB,13.56 W,15.7,56.66,
0 %, 3 MiB, 24576 MiB,15.09 W,14.4,57.71,
0 %, 3 MiB, 24576 MiB,14.77 W,14.7,58.75,
0 %, 3 MiB, 24576 MiB,14.69 W,14.5,59.8,
0 %, 3 MiB, 24576 MiB,14.86 W,15.8,60.85,
0 %, 3 MiB, 24576 MiB,14.90 W,12.8,61.9,
0 %, 3 MiB, 24576 MiB,14.93 W,11.5,62.95,
0 %, 3 MiB, 24576 MiB,13.34 W,12.6,63.99,
0 %, 3 MiB, 24576 MiB,14.76 W,14.9,65.04,
0 %, 3 MiB, 24576 MiB,14.90 W,13.4,66.09,
0 %, 3 MiB, 24576 MiB,15.16 W,14.8,67.14,
0 %, 3 MiB, 24576 MiB,15.02 W,13.4,68.19,
0 %, 3 MiB, 24576 MiB,14.81 W,13.7,69.23,
0 %, 3 MiB, 24576 MiB,14.18 W,14.7,70.28,
0 %, 3 MiB, 24576 MiB,13.46 W,11.6,71.34,
0 %, 3 MiB, 24576 MiB,14.94 W,14.6,72.38,
0 %, 3 MiB, 24576 MiB,14.77 W,14.5,73.43,
0 %, 3 MiB, 24576 MiB,15.00 W,14.4,74.48,
0 %, 3 MiB, 24576 MiB,14.53 W,14.1,75.52,
0 %, 3 MiB, 24576 MiB,15.51 W,17.3,76.58,
0 %, 3 MiB, 24576 MiB,15.52 W,17.4,77.63,
0 %, 3 MiB, 24576 MiB,14.30 W,15.0,78.68,
0 %, 3 MiB, 24576 MiB,14.94 W,13.8,79.74,
0 %, 3 MiB, 24576 MiB,14.19 W,12.2,80.79,
0 %, 3 MiB, 24576 MiB,14.50 W,12.8,81.84,
0 %, 3 MiB, 24576 MiB,14.72 W,13.0,82.9,
0 %, 3 MiB, 24576 MiB,14.91 W,12.2,83.95,
0 %, 3 MiB, 24576 MiB,14.15 W,13.5,85.0,
0 %, 3 MiB, 24576 MiB,12.77 W,13.1,86.06,
0 %, 3 MiB, 24576 MiB,14.74 W,12.6,87.11,
0 %, 3 MiB, 24576 MiB,14.43 W,12.4,88.15,
0 %, 3 MiB, 24576 MiB,14.26 W,13.5,89.21,
0 %, 3 MiB, 24576 MiB,14.40 W,12.5,90.25,
0 %, 3 MiB, 24576 MiB,14.16 W,14.2,91.31,
0 %, 3 MiB, 24576 MiB,14.25 W,13.0,92.35,
0 %, 3 MiB, 24576 MiB,14.62 W,12.2,93.41,
0 %, 3 MiB, 24576 MiB,14.19 W,12.3,94.46,
0 %, 3 MiB, 24576 MiB,13.84 W,14.1,95.5,
0 %, 3 MiB, 24576 MiB,14.89 W,12.4,96.56,
0 %, 3 MiB, 24576 MiB,14.46 W,14.4,97.61,
0 %, 3 MiB, 24576 MiB,15.49 W,12.9,98.66,
0 %, 3 MiB, 24576 MiB,15.64 W,12.2,99.7,
0 %, 3 MiB, 24576 MiB,14.29 W,12.7,100.75,
0 %, 3 MiB, 24576 MiB,14.78 W,13.1,101.8,
0 %, 3 MiB, 24576 MiB,14.64 W,11.5,102.85,
0 %, 3 MiB, 24576 MiB,14.27 W,15.8,103.9,
0 %, 3 MiB, 24576 MiB,15.10 W,15.2,104.96,
0 %, 3 MiB, 24576 MiB,14.93 W,13.5,106.01,
0 %, 3 MiB, 24576 MiB,14.22 W,13.5,107.06,
0 %, 3 MiB, 24576 MiB,14.84 W,12.7,108.11,
0 %, 3 MiB, 24576 MiB,14.91 W,11.9,109.16,
0 %, 3 MiB, 24576 MiB,13.87 W,15.4,110.21,
0 %, 3 MiB, 24576 MiB,13.81 W,12.7,111.26,
0 %, 3 MiB, 24576 MiB,14.47 W,12.7,112.3,
0 %, 3 MiB, 24576 MiB,14.10 W,13.1,113.36,
0 %, 3 MiB, 24576 MiB,14.68 W,12.5,114.41,
0 %, 3 MiB, 24576 MiB,14.46 W,12.3,115.46,
0 %, 3 MiB, 24576 MiB,14.30 W,13.5,116.5,
0 %, 3 MiB, 24576 MiB,12.78 W,12.8,117.55,
0 %, 3 MiB, 24576 MiB,14.59 W,12.0,118.6,
0 %, 3 MiB, 24576 MiB,14.79 W,13.7,119.64,
0 %, 3 MiB, 24576 MiB,14.23 W,12.5,120.69,
0 %, 3 MiB, 24576 MiB,14.39 W,12.8,121.74,
0 %, 3 MiB, 24576 MiB,15.17 W,13.2,122.8,
0 %, 3 MiB, 24576 MiB,14.98 W,11.5,123.84,
0 %, 3 MiB, 24576 MiB,13.28 W,13.8,124.89,
0 %, 3 MiB, 24576 MiB,14.70 W,13.2,125.93,
0 %, 3 MiB, 24576 MiB,14.60 W,12.0,126.98,
0 %, 3 MiB, 24576 MiB,14.27 W,13.3,128.02,
0 %, 3 MiB, 24576 MiB,14.84 W,13.1,129.08,
0 %, 3 MiB, 24576 MiB,15.45 W,12.4,130.12,
0 %, 3 MiB, 24576 MiB,14.91 W,13.1,131.17,
0 %, 3 MiB, 24576 MiB,13.23 W,13.0,132.21,
0 %, 3 MiB, 24576 MiB,14.83 W,12.1,133.26,
0 %, 3 MiB, 24576 MiB,14.38 W,13.2,134.32,
0 %, 3 MiB, 24576 MiB,14.47 W,13.0,135.37,
0 %, 3 MiB, 24576 MiB,14.64 W,12.0,136.41,
0 %, 3 MiB, 24576 MiB,14.48 W,13.2,137.46,
0 %, 3 MiB, 24576 MiB,14.48 W,12.9,138.51,
0 %, 3 MiB, 24576 MiB,12.97 W,13.1,139.56,
0 %, 3 MiB, 24576 MiB,14.22 W,13.1,140.61,
0 %, 3 MiB, 24576 MiB,15.01 W,12.6,141.65,
0 %, 3 MiB, 24576 MiB,14.57 W,12.1,142.69,
0 %, 3 MiB, 24576 MiB,14.50 W,12.9,143.73,
0 %, 3 MiB, 24576 MiB,14.46 W,12.5,144.78,
