utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.24 W,4.2,1.07,0.3491,20178289240.0,
0 %, 3 MiB, 24576 MiB,15.23 W,4.4,2.11,
0 %, 3 MiB, 24576 MiB,15.10 W,4.3,3.15,
0 %, 3 MiB, 24576 MiB,15.05 W,5.4,4.18,
0 %, 3 MiB, 24576 MiB,15.12 W,4.4,5.22,
0 %, 3 MiB, 24576 MiB,14.53 W,4.7,6.26,
0 %, 3 MiB, 24576 MiB,15.23 W,4.2,7.3,
0 %, 3 MiB, 24576 MiB,15.05 W,4.4,8.34,
0 %, 3 MiB, 24576 MiB,14.90 W,4.2,9.38,
0 %, 3 MiB, 24576 MiB,14.81 W,4.7,10.41,
0 %, 3 MiB, 24576 MiB,14.10 W,4.4,11.45,
0 %, 3 MiB, 24576 MiB,15.09 W,4.2,12.49,
0 %, 3 MiB, 24576 MiB,14.90 W,4.4,13.53,
0 %, 3 MiB, 24576 MiB,14.83 W,4.3,14.57,
0 %, 3 MiB, 24576 MiB,14.84 W,4.3,15.61,
0 %, 3 MiB, 24576 MiB,14.95 W,4.3,16.64,
0 %, 3 MiB, 24576 MiB,14.96 W,4.2,17.68,
0 %, 3 MiB, 24576 MiB,15.14 W,5.0,18.72,
0 %, 3 MiB, 24576 MiB,14.15 W,4.5,19.76,
0 %, 3 MiB, 24576 MiB,15.38 W,4.3,20.8,
0 %, 3 MiB, 24576 MiB,15.41 W,5.2,21.84,
0 %, 3 MiB, 24576 MiB,15.42 W,6.2,22.88,
0 %, 3 MiB, 24576 MiB,15.14 W,5.3,23.92,
0 %, 3 MiB, 24576 MiB,15.13 W,4.5,24.96,
0 %, 3 MiB, 24576 MiB,15.23 W,4.5,26.0,
0 %, 3 MiB, 24576 MiB,15.02 W,4.3,27.04,
0 %, 3 MiB, 24576 MiB,13.59 W,4.3,28.08,
0 %, 3 MiB, 24576 MiB,15.26 W,4.2,29.12,
0 %, 3 MiB, 24576 MiB,15.08 W,4.4,30.16,
0 %, 3 MiB, 24576 MiB,15.28 W,4.3,31.2,
0 %, 3 MiB, 24576 MiB,15.02 W,4.3,32.24,
0 %, 3 MiB, 24576 MiB,15.28 W,4.3,33.28,
0 %, 3 MiB, 24576 MiB,15.00 W,5.1,34.32,
0 %, 3 MiB, 24576 MiB,15.00 W,4.3,35.36,
0 %, 3 MiB, 24576 MiB,13.69 W,4.8,36.41,
0 %, 3 MiB, 24576 MiB,14.82 W,4.2,37.45,
0 %, 3 MiB, 24576 MiB,14.65 W,4.4,38.49,
0 %, 3 MiB, 24576 MiB,14.74 W,4.3,39.53,
0 %, 3 MiB, 24576 MiB,15.04 W,4.7,40.57,
0 %, 3 MiB, 24576 MiB,15.06 W,4.3,41.61,
0 %, 3 MiB, 24576 MiB,15.06 W,4.2,42.65,
0 %, 3 MiB, 24576 MiB,15.01 W,4.3,43.69,
0 %, 3 MiB, 24576 MiB,13.49 W,5.5,44.73,
0 %, 3 MiB, 24576 MiB,15.05 W,4.4,45.77,
0 %, 3 MiB, 24576 MiB,14.97 W,4.4,46.82,
