utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,flops,
0 %, 3 MiB, 24576 MiB,15.00 W,6.3,1.06,0.0222,20178289240.0,
0 %, 3 MiB, 24576 MiB,14.94 W,6.4,2.1,
0 %, 3 MiB, 24576 MiB,12.74 W,6.6,3.14,
0 %, 3 MiB, 24576 MiB,14.92 W,6.4,4.17,
0 %, 3 MiB, 24576 MiB,14.92 W,4.4,5.21,
0 %, 3 MiB, 24576 MiB,14.47 W,4.4,6.24,
0 %, 3 MiB, 24576 MiB,15.21 W,4.5,7.28,
0 %, 3 MiB, 24576 MiB,14.88 W,4.3,8.31,
0 %, 3 MiB, 24576 MiB,14.75 W,4.2,9.35,
0 %, 3 MiB, 24576 MiB,14.69 W,4.3,10.38,
0 %, 3 MiB, 24576 MiB,14.81 W,4.4,11.42,
0 %, 3 MiB, 24576 MiB,14.79 W,4.5,12.45,
0 %, 3 MiB, 24576 MiB,14.85 W,5.0,13.48,
0 %, 3 MiB, 24576 MiB,13.91 W,4.3,14.52,
0 %, 3 MiB, 24576 MiB,14.24 W,4.2,15.56,
0 %, 3 MiB, 24576 MiB,14.47 W,4.3,16.59,
0 %, 3 MiB, 24576 MiB,13.77 W,4.4,17.63,
0 %, 3 MiB, 24576 MiB,14.67 W,4.3,18.67,
0 %, 3 MiB, 24576 MiB,14.87 W,4.3,19.71,
0 %, 3 MiB, 24576 MiB,15.18 W,4.2,20.74,
0 %, 3 MiB, 24576 MiB,15.46 W,4.6,21.78,
0 %, 3 MiB, 24576 MiB,15.20 W,4.3,22.81,
0 %, 3 MiB, 24576 MiB,14.87 W,4.2,23.85,
0 %, 3 MiB, 24576 MiB,14.72 W,4.3,24.88,
0 %, 3 MiB, 24576 MiB,12.75 W,4.3,25.92,
0 %, 3 MiB, 24576 MiB,14.38 W,4.5,26.95,
0 %, 3 MiB, 24576 MiB,14.61 W,4.5,27.98,
0 %, 3 MiB, 24576 MiB,13.53 W,5.4,29.02,
0 %, 3 MiB, 24576 MiB,14.55 W,4.3,30.05,
0 %, 3 MiB, 24576 MiB,14.57 W,4.4,31.09,
0 %, 3 MiB, 24576 MiB,14.67 W,4.2,32.12,
0 %, 3 MiB, 24576 MiB,14.66 W,4.4,33.16,
0 %, 3 MiB, 24576 MiB,14.81 W,4.3,34.19,
0 %, 3 MiB, 24576 MiB,14.39 W,4.2,35.23,
0 %, 3 MiB, 24576 MiB,14.73 W,4.3,36.26,
0 %, 3 MiB, 24576 MiB,14.88 W,4.8,37.3,
0 %, 3 MiB, 24576 MiB,14.87 W,4.2,38.33,
0 %, 3 MiB, 24576 MiB,14.89 W,4.4,39.37,
0 %, 3 MiB, 24576 MiB,13.45 W,4.4,40.4,
0 %, 3 MiB, 24576 MiB,14.78 W,4.2,41.43,
0 %, 3 MiB, 24576 MiB,14.70 W,4.7,42.47,
0 %, 3 MiB, 24576 MiB,14.21 W,5.2,43.5,
0 %, 3 MiB, 24576 MiB,14.89 W,4.3,44.54,
0 %, 3 MiB, 24576 MiB,14.95 W,5.0,45.57,
0 %, 3 MiB, 24576 MiB,14.70 W,4.2,46.61,
0 %, 3 MiB, 24576 MiB,14.69 W,4.4,47.64,
0 %, 3 MiB, 24576 MiB,14.69 W,4.4,48.68,
0 %, 3 MiB, 24576 MiB,14.80 W,4.2,49.72,
0 %, 3 MiB, 24576 MiB,14.59 W,4.3,50.75,
0 %, 3 MiB, 24576 MiB,12.88 W,4.7,51.79,
0 %, 3 MiB, 24576 MiB,15.00 W,5.5,52.82,
0 %, 3 MiB, 24576 MiB,15.10 W,4.3,53.86,
0 %, 3 MiB, 24576 MiB,14.73 W,4.3,54.89,
0 %, 3 MiB, 24576 MiB,14.71 W,4.3,55.93,
0 %, 3 MiB, 24576 MiB,14.76 W,4.4,56.96,
0 %, 3 MiB, 24576 MiB,14.86 W,4.5,57.99,
0 %, 3 MiB, 24576 MiB,14.76 W,5.3,59.03,
0 %, 3 MiB, 24576 MiB,14.51 W,5.5,60.07,
0 %, 3 MiB, 24576 MiB,14.38 W,6.4,61.1,
0 %, 3 MiB, 24576 MiB,14.75 W,6.5,62.13,
0 %, 3 MiB, 24576 MiB,12.79 W,6.4,63.17,
0 %, 3 MiB, 24576 MiB,14.73 W,6.4,64.2,
0 %, 3 MiB, 24576 MiB,14.66 W,6.5,65.24,
0 %, 3 MiB, 24576 MiB,14.67 W,6.4,66.27,
0 %, 3 MiB, 24576 MiB,14.69 W,5.4,67.31,
0 %, 3 MiB, 24576 MiB,14.70 W,4.3,68.34,
0 %, 3 MiB, 24576 MiB,14.54 W,4.3,69.38,
0 %, 3 MiB, 24576 MiB,14.50 W,4.3,70.41,
0 %, 3 MiB, 24576 MiB,14.31 W,4.3,71.44,
0 %, 3 MiB, 24576 MiB,14.32 W,4.4,72.48,
0 %, 3 MiB, 24576 MiB,14.33 W,7.1,73.51,
0 %, 3 MiB, 24576 MiB,13.07 W,8.5,74.55,
0 %, 3 MiB, 24576 MiB,14.59 W,4.2,75.58,
0 %, 3 MiB, 24576 MiB,14.55 W,4.4,76.62,
0 %, 3 MiB, 24576 MiB,13.23 W,4.3,77.65,
0 %, 3 MiB, 24576 MiB,14.47 W,4.2,78.69,
0 %, 3 MiB, 24576 MiB,14.26 W,4.4,79.72,
0 %, 3 MiB, 24576 MiB,14.33 W,4.2,80.76,
0 %, 3 MiB, 24576 MiB,14.55 W,4.4,81.79,
0 %, 3 MiB, 24576 MiB,14.63 W,4.7,82.82,
0 %, 3 MiB, 24576 MiB,14.64 W,4.2,83.86,
