utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,
0 , 23163 MiB, 24576 MiB,62.76 W,21.5,1.1,0.2737,
0 , 23163 MiB, 24576 MiB,62.60 W,18.9,2.16,
0 , 23163 MiB, 24576 MiB,62.73 W,19.9,3.21,
0 , 23163 MiB, 24576 MiB,62.76 W,20.5,4.26,
0 , 23163 MiB, 24576 MiB,62.57 W,19.0,5.31,
0 , 23163 MiB, 24576 MiB,62.97 W,22.0,6.37,
0 , 23163 MiB, 24576 MiB,62.93 W,19.5,7.42,
0 , 23163 MiB, 24576 MiB,63.27 W,20.2,8.48,
0 , 23173 MiB, 24576 MiB,62.77 W,20.3,9.54,
1 , 23487 MiB, 24576 MiB,63.11 W,19.7,10.61,
4 , 23633 MiB, 24576 MiB,63.21 W,23.6,11.69,
3 , 23633 MiB, 24576 MiB,63.56 W,20.6,12.77,
1 , 23633 MiB, 24576 MiB,62.93 W,23.0,13.85,
1 , 23633 MiB, 24576 MiB,62.84 W,20.3,14.93,
1 , 23633 MiB, 24576 MiB,62.90 W,23.0,16.0,
1 , 23633 MiB, 24576 MiB,62.85 W,19.7,17.08,
1 , 23633 MiB, 24576 MiB,62.84 W,20.6,18.16,
1 , 23633 MiB, 24576 MiB,62.94 W,20.3,19.24,
1 , 23633 MiB, 24576 MiB,62.86 W,21.9,20.32,
1 , 23633 MiB, 24576 MiB,62.80 W,21.2,21.42,
1 , 23633 MiB, 24576 MiB,63.25 W,22.8,22.52,
1 , 23633 MiB, 24576 MiB,62.92 W,22.6,23.59,
1 , 23633 MiB, 24576 MiB,63.06 W,21.5,24.67,
1 , 23633 MiB, 24576 MiB,63.08 W,21.3,25.88,
1 , 23633 MiB, 24576 MiB,62.82 W,21.7,26.96,
1 , 23633 MiB, 24576 MiB,63.24 W,21.5,28.04,
1 , 23633 MiB, 24576 MiB,63.35 W,23.5,29.14,
1 , 23633 MiB, 24576 MiB,62.94 W,20.4,30.22,
1 , 23633 MiB, 24576 MiB,63.03 W,22.6,31.3,
1 , 23633 MiB, 24576 MiB,63.06 W,20.3,32.38,
1 , 23633 MiB, 24576 MiB,63.11 W,20.2,33.48,
1 , 23633 MiB, 24576 MiB,62.78 W,22.7,34.56,
1 , 23633 MiB, 24576 MiB,63.10 W,20.3,35.64,
1 , 23633 MiB, 24576 MiB,62.88 W,20.6,36.72,
1 , 23633 MiB, 24576 MiB,62.83 W,23.0,37.81,
1 , 23633 MiB, 24576 MiB,62.88 W,20.4,38.9,
1 , 23633 MiB, 24576 MiB,62.90 W,23.4,39.98,
1 , 23633 MiB, 24576 MiB,62.97 W,20.0,41.07,
1 , 23633 MiB, 24576 MiB,63.04 W,21.8,42.17,
1 , 23633 MiB, 24576 MiB,63.20 W,21.2,43.25,
1 , 23633 MiB, 24576 MiB,63.03 W,20.1,44.33,
1 , 23633 MiB, 24576 MiB,62.99 W,22.7,45.4,
1 , 23633 MiB, 24576 MiB,63.19 W,20.6,46.48,
1 , 23633 MiB, 24576 MiB,62.96 W,22.5,47.56,
1 , 23633 MiB, 24576 MiB,62.89 W,20.7,48.64,
1 , 23633 MiB, 24576 MiB,62.85 W,19.8,49.72,
1 , 23633 MiB, 24576 MiB,63.01 W,22.4,50.8,
1 , 23633 MiB, 24576 MiB,62.96 W,20.2,51.88,
1 , 23633 MiB, 24576 MiB,62.85 W,23.4,52.96,
1 , 23633 MiB, 24576 MiB,62.91 W,20.7,54.05,
1 , 23633 MiB, 24576 MiB,62.64 W,24.0,55.13,
1 , 23633 MiB, 24576 MiB,63.26 W,21.3,56.21,
1 , 23633 MiB, 24576 MiB,63.12 W,20.6,57.3,
1 , 23633 MiB, 24576 MiB,63.01 W,22.6,58.38,
1 , 23633 MiB, 24576 MiB,63.21 W,20.3,59.47,
1 , 23633 MiB, 24576 MiB,63.01 W,22.0,60.55,
1 , 23633 MiB, 24576 MiB,62.88 W,21.0,61.65,
1 , 23633 MiB, 24576 MiB,63.09 W,20.3,62.74,
1 , 23633 MiB, 24576 MiB,63.05 W,22.8,63.82,
1 , 23633 MiB, 24576 MiB,63.19 W,20.8,64.92,
1 , 23633 MiB, 24576 MiB,63.02 W,22.3,66.02,
1 , 23633 MiB, 24576 MiB,62.84 W,21.0,67.1,
1 , 23633 MiB, 24576 MiB,62.76 W,21.9,68.2,
1 , 23633 MiB, 24576 MiB,62.95 W,23.6,69.28,
1 , 23633 MiB, 24576 MiB,63.19 W,20.7,70.36,
1 , 23633 MiB, 24576 MiB,63.32 W,22.9,71.45,
1 , 23633 MiB, 24576 MiB,63.03 W,20.4,72.53,
1 , 23633 MiB, 24576 MiB,62.69 W,23.1,73.62,
1 , 23633 MiB, 24576 MiB,62.80 W,20.6,74.7,
1 , 23633 MiB, 24576 MiB,63.24 W,21.4,75.77,
1 , 23633 MiB, 24576 MiB,63.20 W,21.5,76.85,
1 , 23633 MiB, 24576 MiB,63.05 W,20.2,77.93,
1 , 23633 MiB, 24576 MiB,63.16 W,23.3,79.01,
1 , 23633 MiB, 24576 MiB,62.86 W,20.8,80.1,
1 , 23633 MiB, 24576 MiB,63.28 W,23.3,81.18,
1 , 23633 MiB, 24576 MiB,63.12 W,20.1,82.26,
1 , 23633 MiB, 24576 MiB,63.06 W,21.1,83.34,
1 , 23633 MiB, 24576 MiB,63.09 W,23.2,84.43,
1 , 23633 MiB, 24576 MiB,62.96 W,20.7,85.51,
1 , 23633 MiB, 24576 MiB,63.03 W,23.6,86.59,
1 , 23633 MiB, 24576 MiB,63.24 W,21.9,87.67,
1 , 23633 MiB, 24576 MiB,63.06 W,23.0,88.75,
1 , 23633 MiB, 24576 MiB,63.11 W,21.2,89.83,
1 , 23633 MiB, 24576 MiB,62.91 W,21.4,90.91,
1 , 23633 MiB, 24576 MiB,63.12 W,20.4,91.99,
1 , 23633 MiB, 24576 MiB,62.82 W,22.7,93.07,
1 , 23633 MiB, 24576 MiB,62.92 W,20.5,94.14,
1 , 23633 MiB, 24576 MiB,63.10 W,22.8,95.22,
1 , 23633 MiB, 24576 MiB,62.76 W,20.5,96.3,
1 , 23633 MiB, 24576 MiB,63.07 W,22.0,97.38,
1 , 23633 MiB, 24576 MiB,63.05 W,21.1,98.46,
1 , 23633 MiB, 24576 MiB,63.25 W,22.0,99.54,
1 , 23633 MiB, 24576 MiB,63.04 W,21.7,100.62,
1 , 23633 MiB, 24576 MiB,62.85 W,20.1,101.7,
1 , 23633 MiB, 24576 MiB,62.58 W,22.3,102.78,
1 , 23633 MiB, 24576 MiB,62.66 W,21.3,103.86,
1 , 23633 MiB, 24576 MiB,62.55 W,23.7,104.94,
1 , 23633 MiB, 24576 MiB,62.81 W,19.7,106.02,
1 , 23633 MiB, 24576 MiB,63.02 W,20.9,107.1,
1 , 23633 MiB, 24576 MiB,62.66 W,22.1,108.18,
1 , 23633 MiB, 24576 MiB,63.06 W,20.6,109.25,
1 , 23633 MiB, 24576 MiB,63.02 W,21.9,110.33,
1 , 23633 MiB, 24576 MiB,62.95 W,21.2,111.41,
1 , 23633 MiB, 24576 MiB,63.02 W,22.0,112.49,
1 , 23633 MiB, 24576 MiB,63.25 W,21.8,113.57,
1 , 23633 MiB, 24576 MiB,62.77 W,21.2,114.65,
1 , 23633 MiB, 24576 MiB,63.07 W,22.5,115.73,
1 , 23633 MiB, 24576 MiB,63.21 W,20.0,116.81,
1 , 23633 MiB, 24576 MiB,63.09 W,22.1,117.89,
1 , 23633 MiB, 24576 MiB,63.11 W,21.5,118.97,
1 , 23633 MiB, 24576 MiB,63.05 W,20.2,120.05,
1 , 23633 MiB, 24576 MiB,63.07 W,22.5,121.12,
1 , 23633 MiB, 24576 MiB,63.34 W,20.0,122.2,
1 , 23633 MiB, 24576 MiB,62.84 W,22.2,123.28,
1 , 23633 MiB, 24576 MiB,62.74 W,20.4,124.36,
1 , 23633 MiB, 24576 MiB,63.23 W,20.2,125.44,
1 , 23633 MiB, 24576 MiB,63.17 W,23.1,126.52,
1 , 23633 MiB, 24576 MiB,63.17 W,20.1,127.61,
1 , 23633 MiB, 24576 MiB,62.90 W,23.0,128.69,
1 , 23633 MiB, 24576 MiB,63.07 W,21.0,129.77,
1 , 23633 MiB, 24576 MiB,63.08 W,23.4,130.85,
1 , 23633 MiB, 24576 MiB,62.96 W,20.2,131.92,
1 , 23633 MiB, 24576 MiB,63.13 W,19.7,133.0,
1 , 23633 MiB, 24576 MiB,63.08 W,22.7,134.08,
1 , 23633 MiB, 24576 MiB,63.02 W,20.2,135.16,
1 , 23633 MiB, 24576 MiB,63.14 W,21.3,136.24,
1 , 23633 MiB, 24576 MiB,63.08 W,21.1,137.32,
1 , 23633 MiB, 24576 MiB,63.08 W,21.2,138.4,
1 , 23633 MiB, 24576 MiB,63.18 W,22.0,139.48,
1 , 23633 MiB, 24576 MiB,63.13 W,20.0,140.56,
1 , 23633 MiB, 24576 MiB,62.78 W,23.4,141.64,
1 , 23633 MiB, 24576 MiB,62.96 W,19.9,142.72,
1 , 23633 MiB, 24576 MiB,63.01 W,23.6,143.8,
1 , 23633 MiB, 24576 MiB,62.88 W,22.5,144.89,
1 , 23633 MiB, 24576 MiB,62.94 W,21.3,145.97,
1 , 23633 MiB, 24576 MiB,63.18 W,20.8,147.06,
1 , 23633 MiB, 24576 MiB,63.17 W,23.5,148.15,
1 , 23633 MiB, 24576 MiB,63.24 W,20.0,149.23,
1 , 23633 MiB, 24576 MiB,63.19 W,22.9,150.3,
1 , 23633 MiB, 24576 MiB,63.08 W,20.0,151.39,
1 , 23633 MiB, 24576 MiB,62.99 W,22.7,152.47,
1 , 23633 MiB, 24576 MiB,62.95 W,20.7,153.55,
1 , 23633 MiB, 24576 MiB,63.41 W,22.8,154.64,
1 , 23633 MiB, 24576 MiB,63.31 W,20.4,155.72,
1 , 23633 MiB, 24576 MiB,63.28 W,20.7,156.81,
1 , 23633 MiB, 24576 MiB,63.23 W,22.0,157.89,
1 , 23633 MiB, 24576 MiB,63.23 W,20.2,158.97,
1 , 23633 MiB, 24576 MiB,63.36 W,22.1,160.05,
1 , 23633 MiB, 24576 MiB,63.45 W,21.1,161.13,
1 , 23633 MiB, 24576 MiB,63.22 W,19.8,162.21,
1 , 23633 MiB, 24576 MiB,63.35 W,23.2,163.29,
1 , 23633 MiB, 24576 MiB,63.47 W,20.5,164.39,
1 , 23633 MiB, 24576 MiB,63.32 W,20.3,165.47,
1 , 23633 MiB, 24576 MiB,63.17 W,22.1,166.55,
1 , 23633 MiB, 24576 MiB,63.19 W,19.7,167.63,
1 , 23633 MiB, 24576 MiB,63.03 W,23.9,168.72,
1 , 23633 MiB, 24576 MiB,63.19 W,19.7,169.8,
1 , 23633 MiB, 24576 MiB,63.28 W,20.4,170.88,
1 , 23633 MiB, 24576 MiB,63.02 W,22.5,171.96,
1 , 23633 MiB, 24576 MiB,63.12 W,20.1,173.05,
1 , 23633 MiB, 24576 MiB,62.87 W,23.1,174.13,
1 , 23633 MiB, 24576 MiB,62.97 W,21.1,175.22,
1 , 23633 MiB, 24576 MiB,62.94 W,21.0,176.31,
1 , 23633 MiB, 24576 MiB,63.37 W,21.9,177.38,
1 , 23633 MiB, 24576 MiB,63.44 W,22.0,178.47,
1 , 23633 MiB, 24576 MiB,63.37 W,22.2,179.56,
1 , 23633 MiB, 24576 MiB,63.27 W,19.9,180.64,
1 , 23633 MiB, 24576 MiB,63.27 W,20.8,181.73,
1 , 23633 MiB, 24576 MiB,63.38 W,22.4,182.81,
1 , 23633 MiB, 24576 MiB,63.20 W,21.2,183.9,
1 , 23633 MiB, 24576 MiB,62.92 W,22.0,184.98,
1 , 23633 MiB, 24576 MiB,62.93 W,20.1,186.06,
1 , 23633 MiB, 24576 MiB,63.11 W,20.4,187.14,
1 , 23633 MiB, 24576 MiB,63.08 W,22.1,188.22,
1 , 23633 MiB, 24576 MiB,62.89 W,21.1,189.3,
1 , 23633 MiB, 24576 MiB,63.14 W,22.6,190.38,
1 , 23633 MiB, 24576 MiB,63.31 W,20.7,191.46,
1 , 23633 MiB, 24576 MiB,62.87 W,22.0,192.54,
1 , 23633 MiB, 24576 MiB,63.06 W,21.4,193.62,
1 , 23633 MiB, 24576 MiB,63.04 W,20.3,194.7,
1 , 23633 MiB, 24576 MiB,63.04 W,22.9,195.78,
1 , 23633 MiB, 24576 MiB,63.22 W,20.1,196.86,
1 , 23633 MiB, 24576 MiB,63.33 W,21.4,197.94,
1 , 23633 MiB, 24576 MiB,63.15 W,21.9,199.02,
1 , 23633 MiB, 24576 MiB,62.81 W,21.1,200.12,
1 , 23633 MiB, 24576 MiB,63.37 W,22.4,201.2,
1 , 23633 MiB, 24576 MiB,63.12 W,20.2,202.28,
1 , 23633 MiB, 24576 MiB,63.09 W,22.9,203.36,
1 , 23633 MiB, 24576 MiB,63.10 W,22.7,204.44,
1 , 23633 MiB, 24576 MiB,63.29 W,21.7,205.52,
1 , 23633 MiB, 24576 MiB,63.29 W,23.2,206.6,
1 , 23633 MiB, 24576 MiB,63.42 W,21.3,207.68,
1 , 23633 MiB, 24576 MiB,63.44 W,19.9,208.76,
1 , 23633 MiB, 24576 MiB,63.35 W,24.0,209.84,
1 , 23633 MiB, 24576 MiB,63.03 W,20.1,210.92,
1 , 23633 MiB, 24576 MiB,63.59 W,22.4,212.0,
1 , 23633 MiB, 24576 MiB,63.26 W,20.4,213.07,
1 , 23633 MiB, 24576 MiB,63.15 W,21.6,214.17,
1 , 23633 MiB, 24576 MiB,63.32 W,21.3,215.25,
1 , 23633 MiB, 24576 MiB,63.40 W,20.8,216.34,
1 , 23633 MiB, 24576 MiB,63.23 W,23.1,217.42,
1 , 23633 MiB, 24576 MiB,63.36 W,19.9,218.51,
1 , 23633 MiB, 24576 MiB,63.63 W,23.8,219.59,
1 , 23633 MiB, 24576 MiB,63.39 W,20.9,220.67,
1 , 23633 MiB, 24576 MiB,63.25 W,23.6,221.76,
1 , 23633 MiB, 24576 MiB,63.46 W,20.7,222.85,
1 , 23633 MiB, 24576 MiB,63.38 W,22.7,223.93,
1 , 23633 MiB, 24576 MiB,63.33 W,20.5,225.01,
1 , 23633 MiB, 24576 MiB,63.10 W,20.6,226.1,
1 , 23633 MiB, 24576 MiB,63.06 W,22.8,227.18,
1 , 23633 MiB, 24576 MiB,63.21 W,20.5,228.27,
1 , 23633 MiB, 24576 MiB,63.01 W,22.6,229.35,
1 , 23633 MiB, 24576 MiB,63.06 W,19.8,230.43,
1 , 23633 MiB, 24576 MiB,63.17 W,20.8,231.52,
1 , 23633 MiB, 24576 MiB,63.67 W,22.6,232.6,
1 , 23633 MiB, 24576 MiB,63.28 W,19.7,233.68,
1 , 23633 MiB, 24576 MiB,63.16 W,23.2,234.76,
1 , 23633 MiB, 24576 MiB,63.03 W,21.0,235.84,
1 , 23633 MiB, 24576 MiB,63.15 W,23.1,236.91,
1 , 23633 MiB, 24576 MiB,63.30 W,20.3,237.99,
1 , 23633 MiB, 24576 MiB,63.30 W,22.0,239.07,
1 , 23633 MiB, 24576 MiB,63.35 W,23.1,240.15,
1 , 23633 MiB, 24576 MiB,63.52 W,22.3,241.23,
1 , 23633 MiB, 24576 MiB,63.30 W,20.4,242.31,
1 , 23633 MiB, 24576 MiB,63.26 W,20.8,243.39,
1 , 23633 MiB, 24576 MiB,63.00 W,21.8,244.47,
1 , 23633 MiB, 24576 MiB,63.35 W,23.5,245.55,
1 , 23633 MiB, 24576 MiB,63.34 W,20.5,246.63,
1 , 23633 MiB, 24576 MiB,63.11 W,21.9,247.71,
