utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,
0 , 3 MiB, 24576 MiB,10.31 W,21.4,1.07,0.2722,
0 , 3 MiB, 24576 MiB,10.30 W,28.4,2.1,
0 , 3 MiB, 24576 MiB,10.25 W,28.2,3.14,
0 , 3 MiB, 24576 MiB,10.07 W,28.0,4.18,
0 , 3 MiB, 24576 MiB,10.36 W,27.9,5.21,
0 , 3 MiB, 24576 MiB,10.62 W,28.2,6.25,
0 , 3 MiB, 24576 MiB,10.35 W,28.1,7.29,
0 , 3 MiB, 24576 MiB,10.31 W,27.5,8.33,
0 , 3 MiB, 24576 MiB,10.60 W,21.4,9.36,
0 , 3 MiB, 24576 MiB,10.47 W,27.5,10.39,
0 , 3 MiB, 24576 MiB,10.44 W,28.2,11.43,
0 , 3 MiB, 24576 MiB,10.47 W,27.8,12.46,
0 , 3 MiB, 24576 MiB,10.40 W,28.0,13.5,
0 , 3 MiB, 24576 MiB,10.57 W,28.9,14.54,
0 , 3 MiB, 24576 MiB,10.07 W,29.0,15.57,
0 , 3 MiB, 24576 MiB,10.51 W,29.3,16.62,
0 , 3 MiB, 24576 MiB,11.21 W,21.8,17.65,
0 , 3 MiB, 24576 MiB,10.83 W,29.3,18.69,
0 , 3 MiB, 24576 MiB,10.87 W,30.7,19.73,
0 , 3 MiB, 24576 MiB,11.11 W,29.6,20.76,
0 , 3 MiB, 24576 MiB,10.78 W,29.1,21.8,
0 , 3 MiB, 24576 MiB,10.80 W,28.9,22.84,
0 , 3 MiB, 24576 MiB,11.04 W,29.1,23.88,
0 , 3 MiB, 24576 MiB,10.74 W,27.9,24.91,
0 , 3 MiB, 24576 MiB,10.30 W,23.5,25.95,
0 , 3 MiB, 24576 MiB,10.67 W,29.0,26.99,
0 , 3 MiB, 24576 MiB,10.58 W,29.1,28.02,
0 , 3 MiB, 24576 MiB,10.67 W,29.3,29.06,
0 , 3 MiB, 24576 MiB,10.60 W,29.1,30.1,
0 , 3 MiB, 24576 MiB,11.17 W,29.2,31.14,
0 , 3 MiB, 24576 MiB,10.99 W,29.8,32.17,
0 , 3 MiB, 24576 MiB,11.03 W,25.7,33.21,
0 , 3 MiB, 24576 MiB,10.52 W,26.0,34.25,
0 , 3 MiB, 24576 MiB,11.12 W,27.9,35.28,
0 , 3 MiB, 24576 MiB,10.94 W,28.2,36.32,
0 , 3 MiB, 24576 MiB,10.76 W,28.3,37.35,
0 , 3 MiB, 24576 MiB,10.78 W,27.9,38.39,
0 , 3 MiB, 24576 MiB,10.86 W,28.0,39.43,
