utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,
0 , 3 MiB, 24576 MiB,11.10 W,7.0,1.06,0.0112,
0 , 3 MiB, 24576 MiB,10.69 W,7.0,2.09,
0 , 3 MiB, 24576 MiB,10.85 W,7.4,3.13,
0 , 3 MiB, 24576 MiB,10.78 W,7.0,4.16,
0 , 3 MiB, 24576 MiB,10.64 W,7.4,5.2,
0 , 3 MiB, 24576 MiB,10.38 W,6.9,6.23,
0 , 3 MiB, 24576 MiB,11.01 W,7.3,7.27,
0 , 3 MiB, 24576 MiB,10.77 W,7.1,8.3,
0 , 3 MiB, 24576 MiB,10.35 W,7.3,9.34,
0 , 3 MiB, 24576 MiB,10.35 W,7.4,10.37,
0 , 3 MiB, 24576 MiB,10.05 W,7.9,11.4,
0 , 3 MiB, 24576 MiB,10.38 W,7.8,12.43,
0 , 3 MiB, 24576 MiB,10.26 W,8.7,13.47,
0 , 3 MiB, 24576 MiB,9.99 W,8.5,14.5,
0 , 3 MiB, 24576 MiB,10.42 W,8.1,15.53,
0 , 3 MiB, 24576 MiB,10.04 W,8.1,16.57,
0 , 3 MiB, 24576 MiB,10.22 W,7.9,17.6,
0 , 3 MiB, 24576 MiB,10.27 W,7.9,18.63,
0 , 3 MiB, 24576 MiB,10.16 W,7.7,19.67,
0 , 3 MiB, 24576 MiB,10.39 W,7.9,20.7,
0 , 3 MiB, 24576 MiB,10.13 W,7.7,21.73,
0 , 3 MiB, 24576 MiB,10.11 W,7.7,22.77,
0 , 3 MiB, 24576 MiB,10.60 W,7.9,23.8,
0 , 3 MiB, 24576 MiB,10.36 W,7.9,24.83,
0 , 3 MiB, 24576 MiB,10.22 W,7.8,25.86,
0 , 3 MiB, 24576 MiB,9.94 W,7.7,26.9,
0 , 3 MiB, 24576 MiB,9.96 W,8.7,27.93,
0 , 3 MiB, 24576 MiB,10.39 W,8.1,28.96,
0 , 3 MiB, 24576 MiB,10.35 W,9.5,30.0,
