utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,
2 , 23163 MiB, 24576 MiB,62.87 W,25.0,1.12,0.2937,
0 , 23163 MiB, 24576 MiB,62.65 W,27.8,2.17,
0 , 23163 MiB, 24576 MiB,63.07 W,27.9,3.23,
0 , 23163 MiB, 24576 MiB,62.87 W,27.4,4.29,
0 , 23163 MiB, 24576 MiB,63.17 W,28.4,5.34,
0 , 23163 MiB, 24576 MiB,62.78 W,23.9,6.4,
0 , 23163 MiB, 24576 MiB,62.77 W,26.8,7.46,
0 , 23163 MiB, 24576 MiB,63.36 W,26.8,8.52,
0 , 23163 MiB, 24576 MiB,63.15 W,27.0,9.58,
0 , 23163 MiB, 24576 MiB,63.08 W,27.3,10.65,
0 , 23163 MiB, 24576 MiB,63.12 W,27.1,11.71,
4 , 23429 MiB, 24576 MiB,63.11 W,28.9,12.79,
10 , 23633 MiB, 24576 MiB,69.66 W,25.0,13.88,
8 , 23633 MiB, 24576 MiB,63.67 W,28.5,14.96,
4 , 23633 MiB, 24576 MiB,64.59 W,28.7,16.05,
4 , 23633 MiB, 24576 MiB,64.52 W,29.1,17.14,
4 , 23633 MiB, 24576 MiB,64.29 W,28.8,18.23,
4 , 23633 MiB, 24576 MiB,63.83 W,28.8,19.32,
4 , 23633 MiB, 24576 MiB,63.90 W,29.0,20.41,
4 , 23633 MiB, 24576 MiB,63.88 W,23.8,21.49,
4 , 23633 MiB, 24576 MiB,64.36 W,27.7,22.58,
4 , 23633 MiB, 24576 MiB,64.00 W,28.0,23.66,
4 , 23633 MiB, 24576 MiB,64.29 W,28.2,24.75,
4 , 23633 MiB, 24576 MiB,63.61 W,28.0,25.83,
4 , 23633 MiB, 24576 MiB,64.12 W,28.3,26.92,
4 , 23633 MiB, 24576 MiB,64.24 W,29.1,28.01,
4 , 23633 MiB, 24576 MiB,64.75 W,24.2,29.09,
4 , 23633 MiB, 24576 MiB,64.40 W,28.6,30.28,
4 , 23633 MiB, 24576 MiB,63.95 W,29.1,31.37,
4 , 23633 MiB, 24576 MiB,63.89 W,28.6,32.46,
