utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,
0 , 3 MiB, 24576 MiB,19.16 W,20.5,1.07,0.1991,
0 , 3 MiB, 24576 MiB,13.76 W,21.4,2.1,
0 , 3 MiB, 24576 MiB,13.61 W,20.6,3.13,
0 , 3 MiB, 24576 MiB,14.04 W,21.2,4.16,
0 , 3 MiB, 24576 MiB,13.58 W,19.5,5.19,
0 , 3 MiB, 24576 MiB,13.94 W,21.6,6.22,
0 , 3 MiB, 24576 MiB,13.92 W,21.0,7.26,
0 , 3 MiB, 24576 MiB,13.83 W,20.9,8.29,
0 , 3 MiB, 24576 MiB,13.72 W,21.9,9.33,
0 , 3 MiB, 24576 MiB,13.65 W,20.5,10.36,
0 , 3 MiB, 24576 MiB,13.81 W,23.5,11.4,
0 , 3 MiB, 24576 MiB,13.62 W,20.1,12.43,
0 , 3 MiB, 24576 MiB,13.91 W,22.4,13.47,
0 , 3 MiB, 24576 MiB,14.04 W,20.6,14.5,
0 , 3 MiB, 24576 MiB,13.71 W,21.4,15.54,
0 , 3 MiB, 24576 MiB,13.77 W,21.3,16.57,
0 , 3 MiB, 24576 MiB,14.10 W,22.3,17.61,
0 , 3 MiB, 24576 MiB,14.00 W,21.2,18.64,
0 , 3 MiB, 24576 MiB,14.37 W,22.9,19.68,
0 , 3 MiB, 24576 MiB,13.68 W,20.8,20.72,
0 , 3 MiB, 24576 MiB,13.88 W,22.3,21.75,
0 , 3 MiB, 24576 MiB,13.91 W,21.4,22.79,
0 , 3 MiB, 24576 MiB,14.60 W,22.1,23.82,
0 , 3 MiB, 24576 MiB,14.65 W,22.5,24.86,
0 , 3 MiB, 24576 MiB,15.27 W,20.7,25.89,
0 , 3 MiB, 24576 MiB,14.22 W,22.5,26.93,
0 , 3 MiB, 24576 MiB,13.62 W,20.6,27.96,
0 , 3 MiB, 24576 MiB,13.80 W,22.9,29.0,
0 , 3 MiB, 24576 MiB,14.01 W,20.2,30.03,
0 , 3 MiB, 24576 MiB,14.31 W,23.0,31.07,
0 , 3 MiB, 24576 MiB,14.07 W,20.4,32.1,
0 , 3 MiB, 24576 MiB,14.41 W,22.5,33.14,
0 , 3 MiB, 24576 MiB,14.01 W,20.2,34.18,
0 , 3 MiB, 24576 MiB,14.23 W,22.2,35.22,
0 , 3 MiB, 24576 MiB,14.16 W,20.0,36.26,
0 , 3 MiB, 24576 MiB,14.49 W,22.2,37.3,
0 , 3 MiB, 24576 MiB,14.02 W,20.1,38.34,
0 , 3 MiB, 24576 MiB,14.06 W,21.6,39.37,
0 , 3 MiB, 24576 MiB,14.12 W,20.6,40.41,
0 , 3 MiB, 24576 MiB,14.15 W,19.8,41.45,
0 , 3 MiB, 24576 MiB,14.11 W,22.7,42.49,
0 , 3 MiB, 24576 MiB,13.86 W,19.6,43.53,
0 , 3 MiB, 24576 MiB,14.05 W,22.6,44.56,
0 , 3 MiB, 24576 MiB,13.84 W,20.2,45.6,
0 , 3 MiB, 24576 MiB,13.79 W,22.7,46.64,
0 , 3 MiB, 24576 MiB,14.72 W,20.1,47.67,
0 , 3 MiB, 24576 MiB,14.79 W,22.0,48.71,
0 , 3 MiB, 24576 MiB,14.43 W,19.9,49.75,
0 , 3 MiB, 24576 MiB,14.05 W,19.4,50.79,
0 , 3 MiB, 24576 MiB,14.20 W,22.7,51.83,
0 , 3 MiB, 24576 MiB,13.93 W,19.7,52.86,
0 , 3 MiB, 24576 MiB,13.27 W,23.0,53.9,
0 , 3 MiB, 24576 MiB,13.23 W,20.2,54.94,
0 , 3 MiB, 24576 MiB,13.56 W,22.2,55.97,
0 , 3 MiB, 24576 MiB,13.83 W,19.8,57.01,
0 , 3 MiB, 24576 MiB,13.73 W,22.8,58.05,
0 , 3 MiB, 24576 MiB,13.38 W,19.7,59.09,
0 , 3 MiB, 24576 MiB,13.46 W,23.5,60.13,
0 , 3 MiB, 24576 MiB,12.82 W,19.8,61.16,
0 , 3 MiB, 24576 MiB,13.49 W,23.2,62.2,
0 , 3 MiB, 24576 MiB,13.30 W,19.2,63.24,
0 , 3 MiB, 24576 MiB,13.19 W,23.3,64.28,
0 , 3 MiB, 24576 MiB,13.26 W,19.9,65.32,
0 , 3 MiB, 24576 MiB,13.73 W,22.8,66.35,
0 , 3 MiB, 24576 MiB,13.60 W,20.4,67.39,
0 , 3 MiB, 24576 MiB,13.08 W,22.0,68.43,
0 , 3 MiB, 24576 MiB,12.82 W,20.1,69.47,
0 , 3 MiB, 24576 MiB,13.11 W,20.7,70.51,
0 , 3 MiB, 24576 MiB,13.05 W,20.5,71.55,
0 , 3 MiB, 24576 MiB,12.94 W,22.7,72.58,
0 , 3 MiB, 24576 MiB,12.83 W,19.7,73.62,
0 , 3 MiB, 24576 MiB,12.54 W,20.4,74.66,
0 , 3 MiB, 24576 MiB,12.77 W,22.8,75.7,
0 , 3 MiB, 24576 MiB,13.07 W,20.7,76.74,
0 , 3 MiB, 24576 MiB,13.43 W,21.9,77.77,
0 , 3 MiB, 24576 MiB,13.03 W,20.4,78.81,
0 , 3 MiB, 24576 MiB,12.94 W,22.7,79.84,
0 , 3 MiB, 24576 MiB,12.73 W,20.2,80.87,
0 , 3 MiB, 24576 MiB,13.00 W,21.9,81.91,
0 , 3 MiB, 24576 MiB,12.92 W,20.1,82.94,
0 , 3 MiB, 24576 MiB,13.36 W,23.9,83.98,
0 , 3 MiB, 24576 MiB,13.25 W,22.1,85.01,
0 , 3 MiB, 24576 MiB,13.23 W,21.3,86.05,
0 , 3 MiB, 24576 MiB,12.75 W,20.6,87.08,
0 , 3 MiB, 24576 MiB,13.30 W,21.9,88.12,
0 , 3 MiB, 24576 MiB,13.10 W,19.6,89.15,
0 , 3 MiB, 24576 MiB,12.92 W,23.2,90.19,
0 , 3 MiB, 24576 MiB,12.82 W,19.9,91.22,
0 , 3 MiB, 24576 MiB,13.11 W,22.5,92.26,
0 , 3 MiB, 24576 MiB,12.83 W,19.6,93.29,
0 , 3 MiB, 24576 MiB,12.93 W,23.0,94.33,
0 , 3 MiB, 24576 MiB,12.76 W,19.6,95.36,
0 , 3 MiB, 24576 MiB,13.26 W,22.7,96.4,
0 , 3 MiB, 24576 MiB,12.67 W,20.6,97.43,
