utilization_gpu,memory_used,memory_total,power_draw,cpu_usage,time,acc,
0 , 3 MiB, 24576 MiB,13.21 W,20.3,1.07,0.0177,
0 , 3 MiB, 24576 MiB,12.91 W,19.0,2.1,
0 , 3 MiB, 24576 MiB,13.04 W,22.7,3.14,
0 , 3 MiB, 24576 MiB,13.20 W,21.1,4.17,
0 , 3 MiB, 24576 MiB,13.39 W,20.1,5.21,
0 , 3 MiB, 24576 MiB,13.24 W,20.6,6.24,
0 , 3 MiB, 24576 MiB,13.60 W,20.8,7.27,
0 , 3 MiB, 24576 MiB,13.32 W,19.7,8.31,
0 , 3 MiB, 24576 MiB,13.54 W,22.8,9.34,
0 , 3 MiB, 24576 MiB,13.26 W,21.9,10.38,
0 , 3 MiB, 24576 MiB,13.52 W,20.9,11.41,
0 , 3 MiB, 24576 MiB,12.96 W,21.0,12.45,
0 , 3 MiB, 24576 MiB,13.37 W,21.1,13.48,
0 , 3 MiB, 24576 MiB,13.07 W,20.2,14.52,
0 , 3 MiB, 24576 MiB,13.41 W,22.6,15.55,
0 , 3 MiB, 24576 MiB,13.28 W,20.5,16.59,
0 , 3 MiB, 24576 MiB,13.57 W,23.0,17.62,
0 , 3 MiB, 24576 MiB,13.31 W,20.1,18.66,
0 , 3 MiB, 24576 MiB,13.27 W,23.0,19.69,
0 , 3 MiB, 24576 MiB,12.84 W,22.0,20.73,
0 , 3 MiB, 24576 MiB,13.11 W,27.4,21.76,
0 , 3 MiB, 24576 MiB,13.20 W,20.1,22.8,
0 , 3 MiB, 24576 MiB,13.56 W,21.9,23.83,
0 , 3 MiB, 24576 MiB,13.19 W,21.3,24.87,
0 , 3 MiB, 24576 MiB,13.41 W,22.6,25.9,
0 , 3 MiB, 24576 MiB,12.83 W,20.1,26.94,
0 , 3 MiB, 24576 MiB,13.13 W,22.2,27.98,
0 , 3 MiB, 24576 MiB,13.44 W,20.5,29.01,
0 , 3 MiB, 24576 MiB,12.65 W,19.8,30.05,
0 , 3 MiB, 24576 MiB,13.46 W,22.6,31.08,
0 , 3 MiB, 24576 MiB,13.43 W,20.2,32.12,
0 , 3 MiB, 24576 MiB,13.29 W,23.0,33.15,
0 , 3 MiB, 24576 MiB,13.06 W,21.1,34.19,
0 , 3 MiB, 24576 MiB,13.73 W,22.8,35.22,
0 , 3 MiB, 24576 MiB,13.54 W,20.9,36.26,
0 , 3 MiB, 24576 MiB,13.57 W,23.0,37.29,
0 , 3 MiB, 24576 MiB,13.45 W,20.3,38.33,
0 , 3 MiB, 24576 MiB,13.40 W,22.9,39.36,
0 , 3 MiB, 24576 MiB,14.23 W,21.3,40.4,
0 , 3 MiB, 24576 MiB,14.06 W,22.1,41.43,
0 , 3 MiB, 24576 MiB,14.02 W,21.1,42.47,
0 , 3 MiB, 24576 MiB,13.38 W,22.0,43.5,
0 , 3 MiB, 24576 MiB,13.20 W,23.2,44.53,
0 , 3 MiB, 24576 MiB,13.31 W,19.8,45.57,
0 , 3 MiB, 24576 MiB,13.59 W,23.0,46.6,
0 , 3 MiB, 24576 MiB,13.72 W,20.0,47.64,
0 , 3 MiB, 24576 MiB,13.32 W,23.2,48.67,
0 , 3 MiB, 24576 MiB,13.70 W,20.0,49.71,
0 , 3 MiB, 24576 MiB,13.46 W,23.4,50.74,
0 , 3 MiB, 24576 MiB,13.25 W,20.3,51.78,
0 , 3 MiB, 24576 MiB,13.23 W,22.0,52.81,
0 , 3 MiB, 24576 MiB,13.68 W,20.3,53.85,
0 , 3 MiB, 24576 MiB,13.49 W,21.6,54.88,
0 , 3 MiB, 24576 MiB,13.11 W,20.9,55.92,
0 , 3 MiB, 24576 MiB,12.88 W,21.8,56.95,
0 , 3 MiB, 24576 MiB,13.06 W,22.2,57.99,
0 , 3 MiB, 24576 MiB,12.87 W,19.7,59.02,
0 , 3 MiB, 24576 MiB,13.13 W,22.5,60.06,
0 , 3 MiB, 24576 MiB,13.31 W,20.3,61.09,
0 , 3 MiB, 24576 MiB,13.30 W,21.3,62.13,
0 , 3 MiB, 24576 MiB,12.85 W,21.5,63.16,
0 , 3 MiB, 24576 MiB,12.92 W,22.4,64.2,
0 , 3 MiB, 24576 MiB,12.94 W,21.0,65.23,
